character_id,name,exclusive_skill,pve_score,pvp_score,effects,acquisition,release_update,image_url,image_local_url,source_url
antman,Size Shift,Heroic Heart,High,Low,"[""3★: Applies to: Self"",""3★: • Decreases Basic Damage Received from bosses by 11%, and an additional 0.1% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to bosses by 11%, and an additional 0.1% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Decreases Basic Damage Received from bosses by 14%, and an additional 0.15% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to bosses by 14%, and an additional 0.15% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Decreases Basic Damage Received from bosses by 17%, and an additional 0.2% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to bosses by 17%, and an additional 0.2% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Decreases Basic Damage Received from bosses by 20%, and an additional 0.25% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to bosses by 20%, and an additional 0.25% of total Instinct. (Up to 200%)""]",8.8 Collector's Vault (General Vault) [6★],Update 8.8,https://thanosvibs.money/images/artifacts/artifact_antman.png,/mff-assets/artifacts/artifactantman.webp,https://thanosvibs.money/api/artifacts
antiman,Antimatter Man,Paired Annihilation,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 10.0,https://thanosvibs.money/images/artifacts/artifact_antiman.png,/mff-assets/artifacts/artifactantiman.webp,https://thanosvibs.money/api/artifacts
apocalypse,The First One,Second Coming,Low,High,"[""3★: Activation Rate: when dead"",""3★: Applies to: Self"",""3★: • Revives with 20% of Max HP, increases by an additional 0.5% of total Instinct. (Up to 100%)"",""3★: Cooldown Time 300 seconds"",""4★: Activation Rate: when dead"",""4★: Applies to: Self"",""4★: • Revives with 30% of Max HP, increases by an additional 0.5% of total Instinct. (Up to 100%)"",""4★: Cooldown Time 300 seconds"",""5★: Activation Rate: when dead"",""5★: Applies to: Self"",""5★: • Revives with 40% of Max HP, increases by an additional 0.5% of total Instinct. (Up to 100%)"",""5★: Cooldown Time 300 seconds"",""6★: Activation Rate: when dead"",""6★: Applies to: Self"",""6★: • Revives with 50% of Max HP, increases by an additional 0.5% of total Instinct. (Up to 100%)"",""6★: Cooldown Time 300 seconds""]",10.3 Collector's Vault (General Vault) [6★],Update 10.3.5b,https://thanosvibs.money/images/artifacts/artifact_apocalypse.png,/mff-assets/artifacts/artifactapocalypse.webp,https://thanosvibs.money/api/artifacts
arachknight,Fragmented Personality,Lunar Movements,Medium,Medium,"[""3★: Applies to: Self"",""3★: • 9% chance to Dodge ALL Attacks, and an additional 0.2 of total Instinct. (Up to 200%)"",""3★: • Ignores Non-Boss enemy Damage Decrease by 4%, and an additional 0.1% of Total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • 11% chance to Dodge ALL Attacks, and an additional 0.3 of total Instinct. (Up to 200%)"",""4★: • Ignores Non-Boss enemy Damage Decrease by 6%, and an additional 0.13% of Total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • 13% chance to Dodge ALL Attacks, and an additional 0.4 of total Instinct. (Up to 200%)"",""5★: • Ignores Non-Boss enemy Damage Decrease by 8%, and an additional 0.16% of Total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • 15% chance to Dodge ALL Attacks, and an additional 0.5 of total Instinct. (Up to 200%)"",""6★: • Ignores Non-Boss enemy Damage Decrease by 10%, and an additional 0.2% of Total Instinct. (Up to 200%)""]",,Update 8.7.5,https://thanosvibs.money/images/artifacts/artifact_arachknight.png,/mff-assets/artifacts/artifactarachknight.webp,https://thanosvibs.money/api/artifacts
ares,Warhawk,No Good or Evil in War,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.4.5,https://thanosvibs.money/images/artifacts/artifact_ares.png,/mff-assets/artifacts/artifactares.webp,https://thanosvibs.money/api/artifacts
athena,Goddess of Wisdom,Goddess of Wisdom and War,High,Low,"[""3★: Applies to: Self"",""3★: • Increases Basic Damage Dealt to enemies with 50% HP or higher by 8%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases Basic Damage Dealt to enemies with 50% HP or higher by 12%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases Basic Damage Dealt to enemies with 50% HP or higher by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases Basic Damage Dealt to enemies with 50% HP or higher by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 11.4,https://thanosvibs.money/images/artifacts/artifact_athena.png,/mff-assets/artifacts/artifactathena.webp,https://thanosvibs.money/api/artifacts
baronmordo,Baron's Touch,Mystic Ignorance,Low,Low,"[""3★: Activation Rate: 5% chance when dodging"",""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 14%, and an additional 0.2% of Total Instinct. (Up to 200%) (5 sec.)"",""3★: (5.0% + Total Instinct * 0.2%) chance to activate:"",""3★: • Can attack enemies with Ignore Targeting."",""3★: • Cannot exceed a 100% chance. (5 sec.)"",""3★: Cooldown Time 10 seconds"",""4★: Activation Rate: 10% chance when dodging"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 16%, and an additional 0.3% of Total Instinct. (Up to 200%) (5 sec.)"",""4★: (10.0% + Total Instinct * 0.3%) chance to activate:"",""4★: • Can attack enemies with Ignore Targeting."",""4★: • Cannot exceed a 100% chance. (5 sec.)"",""4★: Cooldown Time 10 seconds"",""5★: Activation Rate: 15% chance when dodging"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 18%, and an additional 0.4% of Total Instinct. (Up to 200%) (5 sec.)"",""5★: (15.0% + Total Instinct * 0.4%) chance to activate:"",""5★: • Can attack enemies with Ignore Targeting."",""5★: • Cannot exceed a 100% chance. (5 sec.)"",""5★: Cooldown Time 10 seconds"",""6★: Activation Rate: 20% chance when dodging"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 20%, and an additional 0.5% of Total Instinct. (Up to 200%) (5 sec.)"",""6★: (20.0% + Total Instinct * 0.5%) chance to activate:"",""6★: • Can attack enemies with Ignore Targeting."",""6★: • Cannot exceed a 100% chance. (5 sec.)"",""6★: Cooldown Time 10 seconds""]",,Update 8.0.5,https://thanosvibs.money/images/artifacts/artifact_baronmordo.png,/mff-assets/artifacts/artifactbaronmordo.webp,https://thanosvibs.money/api/artifacts
baronzemo,Baron of Hydra,Baron's Sword,High,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases All Basic Attacks by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases All Basic Attacks by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 25%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 10.6,https://thanosvibs.money/images/artifacts/artifact_baronzemo.png,/mff-assets/artifacts/artifactbaronzemo.webp,https://thanosvibs.money/api/artifacts
beast,Bestial Brains,Bestial Energy,Low,Medium,"[""3★: Activation Rate: when HP is below 30%"",""3★: Applies to: Self"",""3★: • Recovers HP by 30%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""3★: • Increases Max HP by 20%, and an additional 0.1% of total Instinct. (Up to 200%) (20 sec.)"",""3★: Cooldown Time 27 seconds"",""4★: Activation Rate: when HP is below 35%"",""4★: Applies to: Self"",""4★: • Recovers HP by 50%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""4★: • Increases Max HP by 30%, and an additional 0.1% of total Instinct. (Up to 200%) (20 sec.)"",""4★: Cooldown Time 27 seconds"",""5★: Activation Rate: when HP is below 45%"",""5★: Applies to: Self"",""5★: • Recovers HP by 60%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""5★: • Increases Max HP by 40%, and an additional 0.1% of total Instinct. (Up to 200%) (20 sec.)"",""5★: Cooldown Time 27 seconds"",""6★: Activation Rate: when HP is below 50%"",""6★: Applies to: Self"",""6★: • Recovers HP by 70%, and an additional 0.3% of total Instinct. (Up to 200%) (1 sec.)"",""6★: • Increases Max HP by 50%, and an additional 0.1% of total Instinct. (Up to 200%) (20 sec.)"",""6★: Cooldown Time 27 seconds""]",,Update 8.6,https://thanosvibs.money/images/artifacts/artifact_beast.png,/mff-assets/artifacts/artifactbeast.webp,https://thanosvibs.money/api/artifacts
betaraybill,Champion of Korbin,Rage of Korbinite,High,Low,"[""3★: Applies to: Self"",""3★: • Increases All Basic Attacks by 19%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Increases All Basic Attacks by 21%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Increases All Basic Attacks by 23%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Increases All Basic Attacks by 25%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 9.8,https://thanosvibs.money/images/artifacts/artifact_betaraybill.png,/mff-assets/artifacts/artifactbetaraybill.webp,https://thanosvibs.money/api/artifacts
bishop,Fight for the Future,Energy Charge,High,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 11%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 14%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases All Basic Attacks by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 17%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases All Basic Attacks by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 20%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases All Basic Attacks by 25%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 8.6,https://thanosvibs.money/images/artifacts/artifact_bishop.png,/mff-assets/artifacts/artifactbishop.webp,https://thanosvibs.money/api/artifacts
blackbolt,Sonic Scream,Ruler's Will,Medium,Low,"[""3★: Applies to: Self"",""3★: • Ignores target's Dodge Rate by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases All Basic Attacks by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: Applies to: Self"",""4★: • Ignores target's Dodge Rate by 15%, and an additional 0.3% of total Instinct. (Up to 200%)"",""4★: • Increases All Basic Attacks by 13%, and an additional 0.3% of total Instinct. (Up to 200%)"",""5★: Applies to: Self"",""5★: • Ignores target's Dodge Rate by 20%, and an additional 0.4% of total Instinct. (Up to 200%)"",""5★: • Increases All Basic Attacks by 16%, and an additional 0.4% of total Instinct. (Up to 200%)"",""6★: Applies to: Self"",""6★: • Ignores target's Dodge Rate by 25%, and an additional 0.5% of total Instinct. (Up to 200%)"",""6★: • Increases All Basic Attacks by 20%, and an additional 0.5% of total Instinct. (Up to 200%)""]",,Update 8.4.5b,https://thanosvibs.money/images/artifacts/artifact_blackbolt.png,/mff-assets/artifacts/artifactblackbolt.webp,https://thanosvibs.money/api/artifacts
blackcat,Persona of Desire,Gray Morality,High,Low,"[""3★: Applies to: All Allies"",""3★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 4%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to SUPER HERO faction by 4%, and an additional 0.2% of total Instinct. (Up to 200%)"",""3★: • Increases Basic Damage Dealt to bosses by 8%, and an additional 0.1% of total Instinct. (Up to 200%)"",""4★: Applies to: All Allies"",""4★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 6%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to SUPER HERO faction by 6%, and an additional 0.2% of total Instinct. (Up to 200%)"",""4★: • Increases Basic Damage Dealt to bosses by 12%, and an additional 0.1% of total Instinct. (Up to 200%)"",""5★: Applies to: All Allies"",""5★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 8%, and an additional 0.2% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to SUPER HERO faction by 8%, and an additional 0.2% of total Instinct. (Up to 200%)"",""5★: • Increases Basic Damage Dealt to bosses by 16%, and an additional 0.1% of total Instinct. (Up to 200%)"",""6★: Applies to: All Allies"",""6★: • Increases Basic Damage Dealt to SUPER VILLAIN faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to SUPER HERO faction by 10%, and an additional 0.2% of total Instinct. (Up to 200%)"",""6★: • Increases Basic Damage Dealt to bosses by 20%, and an additional 0.1% of total Instinct. (Up to 200%)""]",,Update 7.7,https://thanosvibs.money/images/artifacts/artifact_blackcat.png,/mff-assets/artifacts/artifactblackcat.webp,https://thanosvibs.money/api/artifacts
