id,character_id,name,is_default,sort_order,image_url,image_local_url,combat_type,side,gender,species,tags,source_url
americachavez1,americachavez,Classic,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/americachavez1.png,/mff-assets/uniforms/americachavez1.webp,Combat,Hero,Female,Human,"{""Strong"",""Fast Movement"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/americachavez1/skills
americachavez2,americachavez,Marvel Studios' Doctor Strange 2,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/americachavez2.png,/mff-assets/uniforms/americachavez2.webp,Combat,Hero,Female,Human,"{""Strong"",""Fast Movement"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/americachavez2/skills
americachavez3,americachavez,Young Avengers,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/americachavez3.png,/mff-assets/uniforms/americachavez3.webp,Combat,Hero,Female,Human,"{""Strong"",""Fast Movement"",""Young Avengers"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/americachavez3/skills
ancientone,ancientone,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/ancientone.png,/mff-assets/uniforms/ancientone.webp,Blast,Hero,Male,Human,"{""Magic"",""Leadership"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/ancientone/skills
ancientone1,ancientone,Marvel Studios' Doctor Strange,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/ancientone1.png,/mff-assets/uniforms/ancientone1.webp,Blast,Hero,Female,Human,"{""Magic"",""Leadership"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/ancientone1/skills
ancientone3,ancientone,The Monk of Kamar-Taj,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/ancientone3.png,/mff-assets/uniforms/ancientone3.webp,Blast,Hero,Male,Human,"{""Magic"",""Leadership"",""Energy"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/ancientone3/skills
ancientone2,ancientone,Unleashed Mystic,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/ancientone2.png,/mff-assets/uniforms/ancientone2.webp,Blast,Hero,Female,Human,"{""Magic"",""Leadership"",""Energy"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/ancientone2/skills
angel,angel,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/angel.png,/mff-assets/uniforms/angel.webp,Speed,Hero,Male,Mutant,"{""Fast Movement"",""Leadership"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/angel/skills
angel2,angel,All-New X-Men,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/angel2.png,/mff-assets/uniforms/angel2.webp,Speed,Hero,Male,Mutant,"{""Fast Movement"",""Leadership"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/angel2/skills
angel3,angel,Fallen One,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/angel3.png,/mff-assets/uniforms/angel3.webp,Speed,Hero,Male,Mutant,"{""Fast Movement"",""Leadership"",""Physical"",""Instinct:Order"",""Source:Original"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/angel3/skills
angel1,angel,X-Force,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/angel1.png,/mff-assets/uniforms/angel1.webp,Speed,Hero,Male,Mutant,"{""Fast Movement"",""Leadership"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""Alias:Archangel""}",https://thanosvibs.money/api/characters/angel1/skills
angela,angela,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/angela.png,/mff-assets/uniforms/angela.webp,Universal,Hero,Female,Alien,"{""Weapons Master"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/angela/skills
angela2,angela,"All-New, All-Different",false,1,https://thanosvibs.money/images-thumbnails/portraits/md/angela2.png,/mff-assets/uniforms/angela2.webp,Universal,Hero,Female,Alien,"{""Weapons Master"",""Flame"",""Physical"",""Fire"",""Instinct:Order"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/angela2/skills
angela3,angela,Asgard's Assassin,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/angela3.png,/mff-assets/uniforms/angela3.webp,Universal,Hero,Female,Alien,"{""Weapons Master"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/angela3/skills
angela1,angela,Secret Wars: 1602 Witch Hunter Angela,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/angela1.png,/mff-assets/uniforms/angela1.webp,Universal,Hero,Female,Alien,"{""Weapons Master"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/angela1/skills
antman,antman,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/antman.png,/mff-assets/uniforms/antman.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman/skills
antman6,antman,Ant-Man and the Wasp: Quantumania,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/antman6.png,/mff-assets/uniforms/antman6.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman6/skills
antman1,antman,Marvel Studios' Ant-Man,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/antman1.png,/mff-assets/uniforms/antman1.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman1/skills
antman3,antman,Marvel Studios' Ant-Man and the Wasp,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/antman3.png,/mff-assets/uniforms/antman3.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman3/skills
antman4,antman,Marvel Studios' Avengers: Endgame,false,4,https://thanosvibs.money/images-thumbnails/portraits/md/antman4.png,/mff-assets/uniforms/antman4.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman4/skills
antman2,antman,Marvel Studios' Captain America: Civil War,false,5,https://thanosvibs.money/images-thumbnails/portraits/md/antman2.png,/mff-assets/uniforms/antman2.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman2/skills
antman5,antman,Team Suit,false,6,https://thanosvibs.money/images-thumbnails/portraits/md/antman5.png,/mff-assets/uniforms/antman5.webp,Speed,Hero,Male,Human,"{""Agility"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/antman5/skills
antiman,antiman,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/antiman.png,/mff-assets/uniforms/antiman.webp,Universal,Villain,Male,Human,"{""Fast Movement"",""Energy Projection"",""Energy"",""Instinct:Cruelty"",""Source:Comic"",""Tier-3""}",https://thanosvibs.money/api/characters/antiman/skills
antiman1,antiman,Ultimates,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/antiman1.png,/mff-assets/uniforms/antiman1.webp,Universal,Villain,Male,Human,"{""Fast Movement"",""Energy Projection"",""Energy"",""Instinct:Cruelty"",""Source:Comic"",""Tier-3""}",https://thanosvibs.money/api/characters/antiman1/skills
apocalypse,apocalypse,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/apocalypse.png,/mff-assets/uniforms/apocalypse.webp,Combat,Villain,Male,Mutant,"{""Fast Movement"",""Pure Evil"",""Durability"",""Energy"",""Physical"",""Fire"",""Mind"",""Instinct:Destruction"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/apocalypse/skills
apocalypse2,apocalypse,Heralds of Apocalypse,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/apocalypse2.png,/mff-assets/uniforms/apocalypse2.webp,Combat,Villain,Male,Mutant,"{""Fast Movement"",""Pure Evil"",""Durability"",""Energy"",""Mind"",""Instinct:Destruction"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/apocalypse2/skills
apocalypse3,apocalypse,Marvel Animation's X-Men '97,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/apocalypse3.png,/mff-assets/uniforms/apocalypse3.webp,Combat,Villain,Male,Mutant,"{""Fast Movement"",""Pure Evil"",""Durability"",""Energy"",""Mind"",""Instinct:Destruction"",""Source:Animation"",""Tier-4"",""Tier-3"",""Alias:Young Apocalypse""}",https://thanosvibs.money/api/characters/apocalypse3/skills
apocalypse1,apocalypse,Messiah Complex,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/apocalypse1.png,/mff-assets/uniforms/apocalypse1.webp,Combat,Villain,Male,Mutant,"{""Fast Movement"",""Pure Evil"",""Durability"",""Energy"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/apocalypse1/skills
arachknight,arachknight,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/arachknight.png,/mff-assets/uniforms/arachknight.webp,Speed,Hero,Male,Human,"{""Leadership"",""Infinity Warps"",""Spider-Sense"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/arachknight/skills
arachknight1,arachknight,Arachknight 2099,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/arachknight1.png,/mff-assets/uniforms/arachknight1.webp,Speed,Hero,Male,Human,"{""Leadership"",""Infinity Warps"",""Spider-Sense"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/arachknight1/skills
ares,ares,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/ares.png,/mff-assets/uniforms/ares.webp,Combat,Hero,Male,Alien,"{""Dark Avengers"",""Weapons Master"",""Strong"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/ares/skills
ares1,ares,Punisher,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/ares1.png,/mff-assets/uniforms/ares1.webp,Combat,Villain,Male,Alien,"{""Weapons Master"",""Strong"",""Olympus"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/ares1/skills
athena,athena,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/athena.png,/mff-assets/uniforms/athena.webp,Combat,Hero,Female,Alien,"{""Agility"",""Healing"",""Olympus"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/athena/skills
baronmordo,baronmordo,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/baronmordo.png,/mff-assets/uniforms/baronmordo.webp,Blast,Villain,Male,Human,"{""Magic"",""Pure Evil"",""Energy"",""Fire"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/baronmordo/skills
baronmordo1,baronmordo,Marvel Studios' Doctor Strange,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/baronmordo1.png,/mff-assets/uniforms/baronmordo1.webp,Speed,Hero,Male,Human,"{""Agility"",""Heightened Senses"",""Magic"",""Physical"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended"",""Alias:Mordo""}",https://thanosvibs.money/api/characters/baronmordo1/skills
baronmordo2,baronmordo,Marvel Studios' Doctor Strange 2,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/baronmordo2.png,/mff-assets/uniforms/baronmordo2.webp,Speed,Hero,Male,Human,"{""Agility"",""Heightened Senses"",""Magic"",""Physical"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended"",""Alias:Mordo""}",https://thanosvibs.money/api/characters/baronmordo2/skills
baronzemo,baronzemo,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/baronzemo.png,/mff-assets/uniforms/baronzemo.webp,Speed,Villain,Male,Human,"{""Agility"",""Pure Evil"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/baronzemo/skills
baronzemo1,baronzemo,Marvel Studios' The Falcon and the Winter Soldier,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/baronzemo1.png,/mff-assets/uniforms/baronzemo1.webp,Speed,Villain,Male,Human,"{""Agility"",""Pure Evil"",""Physical"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended""}",https://thanosvibs.money/api/characters/baronzemo1/skills
beast,beast,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/beast.png,/mff-assets/uniforms/beast.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/beast/skills
beast1,beast,Age of Apocalypse,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/beast1.png,/mff-assets/uniforms/beast1.webp,Combat,Villain,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/beast1/skills
beast3,beast,All-New X-Men,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/beast3.png,/mff-assets/uniforms/beast3.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/beast3/skills
beast4,beast,Marvel Animation's X-Men '97,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/beast4.png,/mff-assets/uniforms/beast4.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Instinct:Order"",""Source:Animation"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/beast4/skills
beast2,beast,Uncanny X-Men,false,4,https://thanosvibs.money/images-thumbnails/portraits/md/beast2.png,/mff-assets/uniforms/beast2.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Energy"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/beast2/skills
betaraybill,betaraybill,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/betaraybill.png,/mff-assets/uniforms/betaraybill.webp,Universal,Hero,Male,Alien,"{""Shock"",""Leadership"",""Annihilators"",""Energy"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/betaraybill/skills
betaraybill1,betaraybill,Beta Ray Bill,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/betaraybill1.png,/mff-assets/uniforms/betaraybill1.webp,Universal,Hero,Male,Alien,"{""Flame"",""Leadership"",""Annihilators"",""Energy"",""Fire"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/betaraybill1/skills
bishop,bishop,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/bishop.png,/mff-assets/uniforms/bishop.webp,Blast,Hero,Male,Mutant,"{""Energy Projection"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/bishop/skills
bishop1,bishop,Marvel Animation's X-Men '97,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/bishop1.png,/mff-assets/uniforms/bishop1.webp,Blast,Hero,Male,Mutant,"{""Energy Projection"",""Energy"",""Instinct:Order"",""Source:Animation"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/bishop1/skills
blackbolt,blackbolt,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/blackbolt.png,/mff-assets/uniforms/blackbolt.webp,Universal,Hero,Male,Inhuman,"{""Fast Movement"",""Energy Projection"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackbolt/skills
blackbolt1,blackbolt,"All-New, All-Different",false,1,https://thanosvibs.money/images-thumbnails/portraits/md/blackbolt1.png,/mff-assets/uniforms/blackbolt1.webp,Universal,Hero,Male,Inhuman,"{""Fast Movement"",""Energy Projection"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackbolt1/skills
blackbolt4,blackbolt,Fallen Soul,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/blackbolt4.png,/mff-assets/uniforms/blackbolt4.webp,Universal,Villain,Male,Inhuman,"{""Fast Movement"",""Energy Projection"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackbolt4/skills
blackbolt2,blackbolt,Inhumans: Attilan Rising,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/blackbolt2.png,/mff-assets/uniforms/blackbolt2.webp,Universal,Hero,Male,Inhuman,"{""Fast Movement"",""Energy Projection"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackbolt2/skills
blackbolt3,blackbolt,Marvels X,false,4,https://thanosvibs.money/images-thumbnails/portraits/md/blackbolt3.png,/mff-assets/uniforms/blackbolt3.webp,Universal,Hero,Male,Inhuman,"{""Fast Movement"",""Energy Projection"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackbolt3/skills
blackcat,blackcat,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/blackcat.png,/mff-assets/uniforms/blackcat.webp,Speed,Villain,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/blackcat/skills
blackcat2,blackcat,"All-New, All-Different",false,1,https://thanosvibs.money/images-thumbnails/portraits/md/blackcat2.png,/mff-assets/uniforms/blackcat2.webp,Speed,Villain,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/blackcat2/skills
blackcat1,blackcat,Claws,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/blackcat1.png,/mff-assets/uniforms/blackcat1.webp,Speed,Villain,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/blackcat1/skills
blackcat4,blackcat,Queen in Black,false,3,https://thanosvibs.money/images-thumbnails/portraits/md/blackcat4.png,/mff-assets/uniforms/blackcat4.webp,Universal,Hero,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/blackcat4/skills
blackcat3,blackcat,Winter Criminal,false,4,https://thanosvibs.money/images-thumbnails/portraits/md/blackcat3.png,/mff-assets/uniforms/blackcat3.webp,Speed,Villain,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Original"",""Tier-4"",""Transcended""}",https://thanosvibs.money/api/characters/blackcat3/skills
blackdwarf,blackdwarf,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/blackdwarf.png,/mff-assets/uniforms/blackdwarf.webp,Universal,Villain,Male,Alien,"{""Strong"",""Durability"",""Black Order"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Comic"",""Transcended""}",https://thanosvibs.money/api/characters/blackdwarf/skills
blackdwarf2,blackdwarf,Dark Obsidian Armor,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/blackdwarf2.png,/mff-assets/uniforms/blackdwarf2.webp,Combat,Villain,Male,Alien,"{""Strong"",""Durability"",""Black Order"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Original"",""Transcended""}",https://thanosvibs.money/api/characters/blackdwarf2/skills
blackdwarf1,blackdwarf,Marvel Studios' Avengers: Infinity War,false,2,https://thanosvibs.money/images-thumbnails/portraits/md/blackdwarf1.png,/mff-assets/uniforms/blackdwarf1.webp,Universal,Villain,Male,Alien,"{""Strong"",""Durability"",""Black Order"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Mcu"",""Transcended"",""Alias:Cull Obsidian""}",https://thanosvibs.money/api/characters/blackdwarf1/skills
blackknight,blackknight,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/blackknight.png,/mff-assets/uniforms/blackknight.webp,Combat,Hero,Male,Human,"{""Weapons Master"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-3""}",https://thanosvibs.money/api/characters/blackknight/skills
blackpanther,blackpanther,Default,true,0,https://thanosvibs.money/images-thumbnails/portraits/md/blackpanther.png,/mff-assets/uniforms/blackpanther.webp,Combat,Hero,Male,Human,"{""Agility"",""Command"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackpanther/skills
blackpanther3,blackpanther,3099,false,1,https://thanosvibs.money/images-thumbnails/portraits/md/blackpanther3.png,/mff-assets/uniforms/blackpanther3.webp,Combat,Hero,Male,Human,"{""Agility"",""Command"",""Physical"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3""}",https://thanosvibs.money/api/characters/blackpanther3/skills
