id,name,portrait_url,portrait_local_url,combat_type,side,gender,species,tags,source,source_url
archangel,Archangel,https://thanosvibs.money/static/assets/portraits_128/angel1.png,/mff-assets/characters/angel1.webp,Speed,Hero,Male,Mutant,"{""Fastmovement"",""Leadership"",""Energy"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
ares,Ares,https://thanosvibs.money/static/assets/portraits_128/ares1.png,/mff-assets/characters/ares1.webp,Combat,Villain,Male,Alien,"{""Weaponsmaster"",""Strong"",""Olympus"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""Darkavengers"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
athena,Athena,https://thanosvibs.money/static/assets/portraits_128/athena.png,/mff-assets/characters/athena.webp,Combat,Hero,Female,Alien,"{""Agility"",""Healing"",""Olympus"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended"",""artifact-data""}",thanosvibs,https://thanosvibs.money
baronmordo,Baron Mordo,https://thanosvibs.money/static/assets/portraits_128/baronmordo.png,/mff-assets/characters/baronmordo.webp,Blast,Villain,Male,Human,"{""Magic"",""Pureevil"",""Energy"",""Fire"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended"",""artifact-data""}",thanosvibs,https://thanosvibs.money
baronzemo,Baron Zemo,https://thanosvibs.money/static/assets/portraits_128/baronzemo1.png,/mff-assets/characters/baronzemo1.webp,Speed,Villain,Male,Human,"{""Agility"",""Pureevil"",""Physical"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
beast,Beast,https://thanosvibs.money/static/assets/portraits_128/beast4.png,/mff-assets/characters/beast4.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Agility"",""Physical"",""Instinct:Order"",""Source:Animation"",""Tier-4"",""Transcended"",""Lightning"",""Source:Comic"",""Energy"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
betaraybill,Beta Ray Bill,https://thanosvibs.money/static/assets/portraits_128/betaraybill1.png,/mff-assets/characters/betaraybill1.webp,Universal,Hero,Male,Alien,"{""Flame"",""Leadership"",""Annihilators"",""Energy"",""Fire"",""Lightning"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""Shock"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
bishop,Bishop,https://thanosvibs.money/static/assets/portraits_128/bishop1.png,/mff-assets/characters/bishop1.webp,Blast,Hero,Male,Mutant,"{""Energyprojection"",""Energy"",""Instinct:Order"",""Source:Animation"",""Tier-4"",""Transcended"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blackbolt,Black Bolt,https://thanosvibs.money/static/assets/portraits_128/blackbolt4.png,/mff-assets/characters/blackbolt4.webp,Universal,Villain,Male,Inhuman,"{""Fastmovement"",""Energyprojection"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3"",""Physical"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blackcat,Black Cat,https://thanosvibs.money/static/assets/portraits_128/blackcat3.png,/mff-assets/characters/blackcat3.webp,Speed,Villain,Female,Human,"{""Agility"",""Physical"",""Instinct:Cruelty"",""Source:Original"",""Transcended"",""Source:Comic"",""lead-support-data"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blackdwarf,Black Dwarf,https://thanosvibs.money/static/assets/portraits_128/blackdwarf2.png,/mff-assets/characters/blackdwarf2.webp,Combat,Villain,Male,Alien,"{""Strong"",""Durability"",""Blackorder"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Original"",""Transcended"",""Source:Comic"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blackknight,Black Knight,https://thanosvibs.money/static/assets/portraits_128/blackknight.png,/mff-assets/characters/blackknight.webp,Combat,Hero,Male,Human,"{""Weaponsmaster"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-3"",""artifact-data""}",thanosvibs,https://thanosvibs.money
blackpanther,Black Panther,https://thanosvibs.money/static/assets/portraits_128/blackpanther4.png,/mff-assets/characters/blackpanther4.webp,Combat,Hero,Male,Human,"{""Agility"",""Command"",""Physical"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3"",""Source:Comic"",""Source:Mcu"",""Energy"",""Heightenedsenses"",""Leadership"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blackswan,Black Swan,https://thanosvibs.money/static/assets/portraits_128/blackswan.png,/mff-assets/characters/blackswan.webp,Speed,Villain,Female,Alien,"{""Pureevil"",""Blackorder"",""Energy"",""Instinct:Destruction"",""Source:Comic"",""Tier-3"",""artifact-data""}",thanosvibs,https://thanosvibs.money
blackwidow,Black Widow,https://thanosvibs.money/static/assets/portraits_128/blackwidow11.png,/mff-assets/characters/blackwidow11.webp,Speed,Hero,Female,Human,"{""Agility"",""Agent"",""Symbiote"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3"",""Energy"",""Lightning"",""Source:Mcu"",""Source:Original"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
blade,Blade,https://thanosvibs.money/static/assets/portraits_128/blade3.png,/mff-assets/characters/blade3.webp,Combat,Hero,Male,Human,"{""Healing"",""Weaponsmaster"",""Physical"",""Instinct:Justice"",""Source:Original"",""Tier-3"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
bluedragon,Blue Dragon,https://thanosvibs.money/static/assets/portraits_128/bluedragon1.png,/mff-assets/characters/bluedragon1.webp,Blast,Hero,Female,Human,"{""Warriorsofthesky"",""Leadership"",""Shock"",""Energy"",""Lightning"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
bluemarvel,Blue Marvel,https://thanosvibs.money/static/assets/portraits_128/bluemarvel1.png,/mff-assets/characters/bluemarvel1.webp,Universal,Hero,Male,Human,"{""Leadership"",""Energyprojection"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Tier-3"",""uniform-data""}",thanosvibs,https://thanosvibs.money
bobbimorse,Bobbi Morse,https://thanosvibs.money/static/assets/portraits_128/mockingbird1.png,/mff-assets/characters/mockingbird1.webp,Speed,Hero,Female,Human,"{""Agility"",""Agent"",""Physical"",""Instinct:Justice"",""Source:Tv"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
bullseye,Bullseye,https://thanosvibs.money/static/assets/portraits_128/bullseye3.png,/mff-assets/characters/bullseye3.webp,Speed,Villain,Male,Human,"{""Weaponsmaster"",""Pureevil"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended"",""Darkavengers"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
cable,Cable,https://thanosvibs.money/static/assets/portraits_128/cable5.png,/mff-assets/characters/cable5.webp,Blast,Hero,Male,Mutant,"{""Weaponsmaster"",""Leadership"",""Machine"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3"",""Source:Original"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainamerica,Captain America,https://thanosvibs.money/static/assets/portraits_128/captainamerica15.png,/mff-assets/characters/captainamerica15.webp,Combat,Hero,Male,Human,"{""Leadership"",""Command"",""Physical"",""Instinct:Justice"",""Source:Collab"",""Tier-4"",""Tier-3"",""Source:Mcu"",""Source:Comic"",""Energy"",""Source:Original"",""Cosmiccube"",""Phoenixforce"",""Fire"",""Zombie"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainamericasamwilson,Captain America (Sam Wilson),https://thanosvibs.money/static/assets/portraits_128/falcon6.png,/mff-assets/characters/falcon6.webp,Speed,Hero,Male,Human,"{""Fastmovement"",""Leadership"",""Command"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainamericasharonrogers,Captain America (Sharon Rogers),https://thanosvibs.money/static/assets/portraits_128/sharonrogers6.png,/mff-assets/characters/sharonrogers6.webp,Blast,Hero,Female,Human,"{""Leadership"",""Energyprojection"",""Energy"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3"",""Physical"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainbritain,Captain Britain,https://thanosvibs.money/static/assets/portraits_128/psylocke3.png,/mff-assets/characters/psylocke3.webp,Blast,Hero,Female,Mutant,"{""Agility"",""Mind"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainmarvel,Captain Marvel,https://thanosvibs.money/static/assets/portraits_128/captainmarvel7.png,/mff-assets/characters/captainmarvel7.webp,Universal,Villain,Female,Human,"{""Zombie"",""Leadership"",""Energyprojection"",""Energy"",""Instinct:Justice"",""Source:Animation"",""Tier-4"",""Tier-3"",""Fastmovement"",""Source:Comic"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
captainmonicarambeau,Captain Monica Rambeau,https://thanosvibs.money/static/assets/portraits_128/spectrum1.png,/mff-assets/characters/spectrum1.webp,Blast,Hero,Female,Human,"{""Leadership"",""Energyprojection"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
carnage,Carnage,https://thanosvibs.money/static/assets/portraits_128/carnage3.png,/mff-assets/characters/carnage3.webp,Combat,Villain,Male,Human,"{""Pureevil"",""Healing"",""Symbiote"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Tier-3"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
cassandranova,Cassandra Nova,https://thanosvibs.money/static/assets/portraits_128/cassandranova.png,/mff-assets/characters/cassandranova.webp,Blast,Villain,Female,Mutant,"{""Mind"",""Mindresist"",""Pureevil"",""Energy"",""Instinct:Destruction"",""Source:Mcu"",""Tier-3"",""artifact-data""}",thanosvibs,https://thanosvibs.money
cassielang,Cassie Lang,https://thanosvibs.money/static/assets/portraits_128/cassielang.png,/mff-assets/characters/cassielang.webp,Speed,Hero,Female,Human,"{""Fastmovement"",""Agility"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Transcended"",""artifact-data""}",thanosvibs,https://thanosvibs.money
chasm,Chasm,https://thanosvibs.money/static/assets/portraits_128/scarletspider1.png,/mff-assets/characters/scarletspider1.webp,Speed,Villain,Male,Human,"{""Spider Sense"",""Leadership"",""Agility"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3"",""uniform-data""}",thanosvibs,https://thanosvibs.money
clea,Clea,https://thanosvibs.money/static/assets/portraits_128/clea.png,/mff-assets/characters/clea.webp,Universal,Hero,Female,Alien,"{""Magic"",""Fastmovement"",""Energy"",""Instinct:Order"",""Source:Comic"",""Transcended"",""artifact-data""}",thanosvibs,https://thanosvibs.money
colossus,Colossus,https://thanosvibs.money/static/assets/portraits_128/colossus3.png,/mff-assets/characters/colossus3.webp,Combat,Hero,Male,Mutant,"{""Strong"",""Leadership"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended"",""Phoenixforce"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
corvusglaive,Corvus Glaive,https://thanosvibs.money/static/assets/portraits_128/corvusglaive2.png,/mff-assets/characters/corvusglaive2.webp,Speed,Villain,Male,Alien,"{""Agility"",""Fastmovement"",""Blackorder"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Original"",""Transcended"",""Energy"",""Source:Comic"",""Source:Mcu"",""uniform-data""}",thanosvibs,https://thanosvibs.money
crescent,Crescent,https://thanosvibs.money/static/assets/portraits_128/crescent3.png,/mff-assets/characters/crescent3.webp,Combat,Hero,Female,Human,"{""Leadership"",""Durability"",""Strong"",""Physical"",""Instinct:Justice"",""Source:Original"",""Tier-4"",""Tier-3"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
crossbones,Crossbones,https://thanosvibs.money/static/assets/portraits_128/crossbones2.png,/mff-assets/characters/crossbones2.webp,Combat,Villain,Male,Human,"{""Weaponsmaster"",""Physical"",""Instinct:Cruelty"",""Source:Comic"",""Transcended"",""Source:Mcu"",""Energy"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
crystal,Crystal,https://thanosvibs.money/static/assets/portraits_128/crystal3.png,/mff-assets/characters/crystal3.webp,Blast,Hero,Female,Inhuman,"{""Command"",""Energyprojection"",""Energy"",""Cold"",""Instinct:Order"",""Source:Original"",""Tier-4"",""Transcended"",""Physical"",""Fire"",""Lightning"",""Source:Comic"",""Fantasticfour"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
cullobsidian,Cull Obsidian,https://thanosvibs.money/static/assets/portraits_128/blackdwarf1.png,/mff-assets/characters/blackdwarf1.webp,Universal,Villain,Male,Alien,"{""Strong"",""Durability"",""Blackorder"",""Physical"",""Mind"",""Instinct:Destruction"",""Source:Mcu"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
cyclops,Cyclops,https://thanosvibs.money/static/assets/portraits_128/cyclops5.png,/mff-assets/characters/cyclops5.webp,Blast,Hero,Male,Mutant,"{""Energyprojection"",""Command"",""Energy"",""Instinct:Order"",""Source:Animation"",""Tier-4"",""Tier-3"",""Source:Comic"",""Phoenixforce"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
daisyjohnson,Daisy Johnson,https://thanosvibs.money/static/assets/portraits_128/daisyjohnson2.png,/mff-assets/characters/daisyjohnson2.webp,Blast,Hero,Female,Inhuman,"{""Mindresist"",""Agent"",""Physical"",""Energy"",""Instinct:Order"",""Source:Tv"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
daken,Daken,https://thanosvibs.money/static/assets/portraits_128/daken1.png,/mff-assets/characters/daken1.webp,Combat,Villain,Male,Mutant,"{""Weaponsmaster"",""Healing"",""Physical"",""Instinct:Destruction"",""Source:Comic"",""Tier-3"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
daredevil,Daredevil,https://thanosvibs.money/static/assets/portraits_128/daredevil4.png,/mff-assets/characters/daredevil4.webp,Speed,Hero,Male,Human,"{""Heightenedsenses"",""Defenders"",""Leadership"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3"",""Source:Comic"",""Source:Tv"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
dazzler,Dazzler,https://thanosvibs.money/static/assets/portraits_128/dazzler1.png,/mff-assets/characters/dazzler1.webp,Blast,Hero,Female,Mutant,"{""Energyprojection"",""Energy"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Transcended"",""lead-support-data"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
deadpool,Deadpool,https://thanosvibs.money/static/assets/portraits_128/deadpool.png,/mff-assets/characters/deadpool.webp,Speed,Hero,Male,Mutant,"{""Healing"",""Weaponsmaster"",""Physical"",""Instinct:Order"",""Source:Comic"",""Tier-4"",""Tier-3"",""Source:Original"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
deathlok,Deathlok,https://thanosvibs.money/static/assets/portraits_128/deathlok1.png,/mff-assets/characters/deathlok1.webp,Blast,Hero,Male,Human,"{""Machine"",""Agent"",""Physical"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Source:Tv"",""uniform-data""}",thanosvibs,https://thanosvibs.money
destroyer,Destroyer,https://thanosvibs.money/static/assets/portraits_128/destroyer2.png,/mff-assets/characters/destroyer2.webp,Universal,Neutral,Neutral,Creature,"{""Energyprojection"",""Machine"",""Energy"",""Lightning"",""Instinct:Destruction"",""Source:Comic"",""Tier-4"",""Transcended"",""Flame"",""Physical"",""Fire"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
doctordoom,Doctor Doom,https://thanosvibs.money/static/assets/portraits_128/doctordoom2.png,/mff-assets/characters/doctordoom2.webp,Universal,Villain,Male,Human,"{""Pureevil"",""Magic"",""Energy"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Tier-3"",""Fire"",""Source:Original"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
doctoroctopus,Doctor Octopus,https://thanosvibs.money/static/assets/portraits_128/doctoroctopus4.png,/mff-assets/characters/doctoroctopus4.webp,Combat,Villain,Male,Human,"{""Machine"",""Durability"",""Sinistersix"",""Physical"",""Lightning"",""Mind"",""Instinct:Cruelty"",""Source:Comic"",""Tier-4"",""Transcended"",""Spider Sense"",""Agility"",""Energy"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
doctorstrange,Doctor Strange,https://thanosvibs.money/static/assets/portraits_128/doctorstrange6.png,/mff-assets/characters/doctorstrange6.webp,Blast,Villain,Male,Human,"{""Magic"",""Fastmovement"",""Zombie"",""Energy"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
doctorvoodoo,Doctor Voodoo,https://thanosvibs.money/static/assets/portraits_128/doctorvoodoo2.png,/mff-assets/characters/doctorvoodoo2.webp,Universal,Hero,Male,Human,"{""Magic"",""Command"",""Energy"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
domino,Domino,https://thanosvibs.money/static/assets/portraits_128/domino2.png,/mff-assets/characters/domino2.webp,Speed,Hero,Female,Mutant,"{""Agility"",""Weaponsmaster"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
dormammu,Dormammu,https://thanosvibs.money/static/assets/portraits_128/dormammu1.png,/mff-assets/characters/dormammu1.webp,Universal,Villain,Male,Other,"{""Magic"",""Pureevil"",""Energy"",""Fire"",""Instinct:Destruction"",""Source:Comic"",""Tier-3"",""uniform-data""}",thanosvibs,https://thanosvibs.money
drax,Drax,https://thanosvibs.money/static/assets/portraits_128/drax2.png,/mff-assets/characters/drax2.webp,Combat,Hero,Male,Alien,"{""Healing"",""Physical"",""Instinct:Order"",""Source:Comic"",""Transcended"",""Source:Mcu"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
ebonymaw,Ebony Maw,https://thanosvibs.money/static/assets/portraits_128/ebonymaw3.png,/mff-assets/characters/ebonymaw3.webp,Blast,Villain,Male,Alien,"{""Pureevil"",""Mindresist"",""Blackorder"",""Energy"",""Mind"",""Instinct:Destruction"",""Source:Original"",""Tier-4"",""Tier-3"",""Physical"",""Source:Comic"",""Source:Mcu"",""lead-support-data"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
echo,Echo,https://thanosvibs.money/static/assets/portraits_128/echo.png,/mff-assets/characters/echo.webp,Blast,Hero,Female,Human,"{""Phoenixforce"",""Agility"",""Physical"",""Fire"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Transcended"",""artifact-data""}",thanosvibs,https://thanosvibs.money
electro,Electro,https://thanosvibs.money/static/assets/portraits_128/electro1.png,/mff-assets/characters/electro1.webp,Speed,Villain,Male,Human,"{""Pureevil"",""Shock"",""Sinistersix"",""Energy"",""Lightning"",""Mind"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended"",""Source:Comic"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
elektra,Elektra,https://thanosvibs.money/static/assets/portraits_128/elektra3.png,/mff-assets/characters/elektra3.webp,Speed,Hero,Female,Human,"{""Weaponsmaster"",""Physical"",""Instinct:Justice"",""Source:Comic"",""Tier-4"",""Tier-3"",""Source:Tv"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
elsabloodstone,Elsa Bloodstone,https://thanosvibs.money/static/assets/portraits_128/elsabloodstone2.png,/mff-assets/characters/elsabloodstone2.webp,Speed,Hero,Female,Human,"{""Weaponsmaster"",""Physical"",""Energy"",""Instinct:Justice"",""Source:Original"",""Transcended"",""Source:Comic"",""uniform-data""}",thanosvibs,https://thanosvibs.money
emmafrost,Emma Frost,https://thanosvibs.money/static/assets/portraits_128/emmafrost4.png,/mff-assets/characters/emmafrost4.webp,Blast,Hero,Female,Mutant,"{""Mindresist"",""Durability"",""Energy"",""Mind"",""Instinct:Order"",""Source:Original"",""Tier-4"",""Tier-3"",""Source:Comic"",""Phoenixforce"",""Fire"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
enchantress,Enchantress,https://thanosvibs.money/static/assets/portraits_128/enchantress2.png,/mff-assets/characters/enchantress2.webp,Blast,Villain,Female,Alien,"{""Magic"",""Mind"",""Energy"",""Instinct:Destruction"",""Source:Comic"",""Tier-3"",""Source:Original"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
erikkillmongerblackpanther,Erik Killmonger (Black Panther),https://thanosvibs.money/static/assets/portraits_128/killmonger1.png,/mff-assets/characters/killmonger1.webp,Combat,Villain,Male,Human,"{""Strong"",""Command"",""Physical"",""Instinct:Cruelty"",""Source:Mcu"",""Transcended"",""uniform-data""}",thanosvibs,https://thanosvibs.money
exodus,Exodus,https://thanosvibs.money/static/assets/portraits_128/exodus.png,/mff-assets/characters/exodus.webp,Universal,Hero,Male,Mutant,"{""Energyprojection"",""Command"",""Energy"",""Instinct:Order"",""Source:Comic"",""Transcended"",""lead-support-data"",""artifact-data""}",thanosvibs,https://thanosvibs.money
falcon,Falcon,https://thanosvibs.money/static/assets/portraits_128/falcon.png,/mff-assets/characters/falcon.webp,Speed,Hero,Male,Human,"{""Fastmovement"",""Leadership"",""Physical"",""Instinct:Justice"",""Source:Mcu"",""Tier-4"",""Tier-3"",""Source:Comic"",""Zombie"",""artifact-data"",""uniform-data""}",thanosvibs,https://thanosvibs.money
