id,appearance_ability_id,stage_id,stage_order,effect_order,source_effect_id,ability_code,effect_name,description,duration,tick,persistent,metadata
appearance-ability:captainamerica1:uniform-passive:stage:100015001:0:effect:1000150011:0,appearance-ability:captainamerica1:uniform-passive,100015001,1,1,1000150011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,5,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica2:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica2:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica2:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica2:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica2:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica2:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica2:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica2:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica2:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica2:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica2:uniform-passive:stage:100015101:0:effect:1000151011:0,appearance-ability:captainamerica2:uniform-passive,100015101,1,1,1000151011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,5,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica3:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica3:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica3:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica3:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica3:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica3:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica3:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica3:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica3:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica3:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica3:uniform-passive:stage:100015201:0:effect:1000152011:0,appearance-ability:captainamerica3:uniform-passive,100015201,1,1,1000152011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,5,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica4:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica4:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica4:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica4:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica4:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica4:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica4:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica4:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica4:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica4:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica4:uniform-passive:stage:100015301:0:effect:1000153011:0,appearance-ability:captainamerica4:uniform-passive,100015301,1,1,1000153011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,5,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica5:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica5:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica5:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica5:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica5:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica5:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica5:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica5:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica5:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica5:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica5:uniform-passive:stage:100015401:0:effect:1000154011:0,appearance-ability:captainamerica5:uniform-passive,100015401,1,1,1000154011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica6:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica6:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica6:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica6:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica6:tier-2-passive:stage:100011501:0:effect:1000115011:0,appearance-ability:captainamerica6:tier-2-passive,100011501,1,1,1000115011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica6:tier-2-passive:stage:100011501:0:effect:1000115012:1,appearance-ability:captainamerica6:tier-2-passive,100011501,1,2,1000115012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica6:tier-2-passive:stage:100011501:0:effect:1000115013:2,appearance-ability:captainamerica6:tier-2-passive,100011501,1,3,1000115013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica6:uniform-passive:stage:100015501:0:effect:1000155011:0,appearance-ability:captainamerica6:uniform-passive,100015501,1,1,1000155011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica9:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica9:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica9:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica9:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica9:tier-2-passive:stage:100019901:0:effect:1000199011:0,appearance-ability:captainamerica9:tier-2-passive,100019901,1,1,1000199011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica9:tier-2-passive:stage:100019901:0:effect:1000199012:1,appearance-ability:captainamerica9:tier-2-passive,100019901,1,2,1000199012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica9:tier-2-passive:stage:100019901:0:effect:1000199013:2,appearance-ability:captainamerica9:tier-2-passive,100019901,1,3,1000199013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica9:uniform-passive:stage:100018901:0:effect:1000189011:0,appearance-ability:captainamerica9:uniform-passive,100018901,1,1,1000189011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica9:uniform-passive:stage:100018901:0:effect:1000189012:1,appearance-ability:captainamerica9:uniform-passive,100018901,1,2,1000189012,252,FRENZY,"Increases all Basic Attacks and Defense by 15%, all speed by 1%, and Critical Rate by 15%, removes Incapacitation",6,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>15%</b>, all speed by <b>1%</b>, and Critical Rate by <b>15%</b>, removes Incapacitation""}"
appearance-ability:captainamerica8:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica8:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica8:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica8:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica8:tier-2-passive:stage:100019901:0:effect:1000199011:0,appearance-ability:captainamerica8:tier-2-passive,100019901,1,1,1000199011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica8:tier-2-passive:stage:100019901:0:effect:1000199012:1,appearance-ability:captainamerica8:tier-2-passive,100019901,1,2,1000199012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica8:tier-2-passive:stage:100019901:0:effect:1000199013:2,appearance-ability:captainamerica8:tier-2-passive,100019901,1,3,1000199013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica8:uniform-passive:stage:100018901:0:effect:1000189011:0,appearance-ability:captainamerica8:uniform-passive,100018901,1,1,1000189011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica8:uniform-passive:stage:100018901:0:effect:1000189012:1,appearance-ability:captainamerica8:uniform-passive,100018901,1,2,1000189012,252,FRENZY,"Increases all Basic Attacks and Defense by 15%, all speed by 1%, and Critical Rate by 15%, removes Incapacitation",6,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>15%</b>, all speed by <b>1%</b>, and Critical Rate by <b>15%</b>, removes Incapacitation""}"
appearance-ability:captainamerica10:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica10:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica10:passive:stage:100010401:0:effect:1000104011:0,appearance-ability:captainamerica10:passive,100010401,1,1,1000104011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica10:tier-2-passive:stage:120016601:0:effect:1200166011:0,appearance-ability:captainamerica10:tier-2-passive,120016601,1,1,1200166011,314,Decreases all basic damage,Decreases basic damage received by 25%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>25%</b>.""}"
appearance-ability:captainamerica10:tier-2-passive:stage:120016601:0:effect:1200166012:1,appearance-ability:captainamerica10:tier-2-passive,120016601,1,2,1200166012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica10:tier-2-passive:stage:120016601:0:effect:1200166013:2,appearance-ability:captainamerica10:tier-2-passive,120016601,1,3,1200166013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica10:uniform-passive:stage:100018901:0:effect:1000189011:0,appearance-ability:captainamerica10:uniform-passive,100018901,1,1,1000189011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica10:uniform-passive:stage:100018901:0:effect:1000189012:1,appearance-ability:captainamerica10:uniform-passive,100018901,1,2,1000189012,252,FRENZY,"Increases all Basic Attacks and Defense by 15%, all speed by 1%, and Critical Rate by 15%, removes Incapacitation",6,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>15%</b>, all speed by <b>1%</b>, and Critical Rate by <b>15%</b>, removes Incapacitation""}"
appearance-ability:captainamerica11:leader-skill:stage:100012006:0:effect:1000120061:0,appearance-ability:captainamerica11:leader-skill,100012006,1,1,1000120061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica11:passive:stage:120016701:0:effect:1200167011:0,appearance-ability:captainamerica11:passive,120016701,1,1,1200167011,206,Removes all Debuffs.,Removes all Debuffs.,2,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica11:tier-2-passive:stage:120016801:0:effect:1200168011:0,appearance-ability:captainamerica11:tier-2-passive,120016801,1,1,1200168011,314,Decreases all basic damage,Decreases basic damage received by 30%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>30%</b>.""}"
appearance-ability:captainamerica11:tier-2-passive:stage:120016801:0:effect:1200168012:1,appearance-ability:captainamerica11:tier-2-passive,120016801,1,2,1200168012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 30%, increases Bonus Damage by 25%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>30%</b>, increases Bonus Damage by <b>25%</b>.""}"
appearance-ability:captainamerica11:tier-2-passive:stage:120016801:0:effect:1200168013:2,appearance-ability:captainamerica11:tier-2-passive,120016801,1,3,1200168013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 15%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>15%</b>.""}"
appearance-ability:captainamerica11:uniform-passive:stage:120016901:0:effect:1200169011:0,appearance-ability:captainamerica11:uniform-passive,120016901,1,1,1200169011,9,ALL BASIC ATTACKS INCREASE,Increases all Basic Attacks by 10%,,,false,"{""rawDescription"":""Increases all Basic Attacks by <b>10%</b>""}"
appearance-ability:captainamerica11:uniform-passive:stage:120016901:0:effect:1200169012:1,appearance-ability:captainamerica11:uniform-passive,120016901,1,2,1200169012,325,Give Power,Acquires the following effect for $TIME sec.,,,false,"{""rawDescription"":""Acquires the following effect for $TIME sec.""}"
appearance-ability:captainamerica11:uniform-passive:stage:120018701:1:effect:1200187011:0,appearance-ability:captainamerica11:uniform-passive,120018701,2,1,1200187011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica11:uniform-passive:stage:120018701:1:effect:1200187012:1,appearance-ability:captainamerica11:uniform-passive,120018701,2,2,1200187012,252,FRENZY,"Increases all Basic Attacks and Defense by 20%, all speed by 1%, and Critical Rate by 20%, removes Incapacitation",6,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>20%</b>, all speed by <b>1%</b>, and Critical Rate by <b>20%</b>, removes Incapacitation""}"
appearance-ability:captainamerica12:leader-skill:stage:180010006:0:effect:1800100061:0,appearance-ability:captainamerica12:leader-skill,180010006,1,1,1800100061,11,MAX HP ↑,30% increase of HP.,,,false,"{""rawDescription"":""<b>30%</b> increase of HP.""}"
appearance-ability:captainamerica12:passive:stage:180010101:0:effect:1800101011:0,appearance-ability:captainamerica12:passive,180010101,1,1,1800101011,206,Removes all Debuffs.,Removes all Debuffs.,6,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica12:tier-2-passive:stage:180010201:0:effect:1800102011:0,appearance-ability:captainamerica12:tier-2-passive,180010201,1,1,1800102011,314,Decreases all basic damage,Decreases basic damage received by 30%.,8,,false,"{""rawDescription"":""Decreases basic damage received by <b>30%</b>.""}"
appearance-ability:captainamerica12:tier-2-passive:stage:180010201:0:effect:1800102012:1,appearance-ability:captainamerica12:tier-2-passive,180010201,1,2,1800102012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 40%, increases Bonus Damage by 35%.",6,,false,"{""rawDescription"":""Increases Skill damage by <b>40%</b>, increases Bonus Damage by <b>35%</b>.""}"
appearance-ability:captainamerica12:tier-2-passive:stage:180010201:0:effect:1800102013:2,appearance-ability:captainamerica12:tier-2-passive,180010201,1,3,1800102013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 40%.",6,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>40%</b>.""}"
appearance-ability:captainamerica12:uniform-passive:stage:180010301:0:effect:1800103011:0,appearance-ability:captainamerica12:uniform-passive,180010301,1,1,1800103011,9,ALL BASIC ATTACKS INCREASE,Increases all Basic Attacks by 20%,,,false,"{""rawDescription"":""Increases all Basic Attacks by <b>20%</b>""}"
appearance-ability:captainamerica12:uniform-passive:stage:180010301:0:effect:1800103012:1,appearance-ability:captainamerica12:uniform-passive,180010301,1,2,1800103012,265,FLAME DAMAGE ↑,Increases Flame Damage by 20%.,,,false,"{""rawDescription"":""Increases Flame Damage by <b>20%</b>.""}"
appearance-ability:captainamerica12:uniform-passive:stage:180010301:0:effect:1800103013:2,appearance-ability:captainamerica12:uniform-passive,180010301,1,3,1800103013,325,Give Power,Acquires the following effect for $TIME sec.,,,false,"{""rawDescription"":""Acquires the following effect for $TIME sec.""}"
appearance-ability:captainamerica12:uniform-passive:stage:180010401:1:effect:1800104011:0,appearance-ability:captainamerica12:uniform-passive,180010401,2,1,1800104011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,3,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica12:uniform-passive:stage:180010401:1:effect:1800104012:1,appearance-ability:captainamerica12:uniform-passive,180010401,2,2,1800104012,252,FRENZY,"Increases all Basic Attacks and Defense by 20%, all speed by 1%, and Critical Rate by 20%, removes Incapacitation",6,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>20%</b>, all speed by <b>1%</b>, and Critical Rate by <b>20%</b>, removes Incapacitation""}"
appearance-ability:captainamerica13:leader-skill:stage:180013706:0:effect:1800137061:0,appearance-ability:captainamerica13:leader-skill,180013706,1,1,1800137061,11,MAX HP ↑,45% increase of HP.,,,false,"{""rawDescription"":""<b>45%</b> increase of HP.""}"
appearance-ability:captainamerica13:passive:stage:180010101:0:effect:1800101011:0,appearance-ability:captainamerica13:passive,180010101,1,1,1800101011,206,Removes all Debuffs.,Removes all Debuffs.,6,,false,"{""rawDescription"":""Removes all Debuffs.""}"
appearance-ability:captainamerica13:tier-2-passive:stage:180013801:0:effect:1800138011:0,appearance-ability:captainamerica13:tier-2-passive,180013801,1,1,1800138011,314,Decreases all basic damage,Decreases basic damage received by 35%.,,,false,"{""rawDescription"":""Decreases basic damage received by <b>35%</b>.""}"
appearance-ability:captainamerica13:tier-2-passive:stage:180013801:0:effect:1800138012:1,appearance-ability:captainamerica13:tier-2-passive,180013801,1,2,1800138012,304,SKILL AND BONUS DAMAGE ↑,"Increases Skill damage by 40%, increases Bonus Damage by 35%.",,,false,"{""rawDescription"":""Increases Skill damage by <b>40%</b>, increases Bonus Damage by <b>35%</b>.""}"
appearance-ability:captainamerica13:tier-2-passive:stage:180013801:0:effect:1800138013:2,appearance-ability:captainamerica13:tier-2-passive,180013801,1,3,1800138013,208,SUPER ARMOR,"Super Armor, increases all Basic Defenses by 40%.",,,false,"{""rawDescription"":""Super Armor, increases all Basic Defenses by <b>40%</b>.""}"
appearance-ability:captainamerica13:uniform-passive:stage:180013901:0:effect:1800139011:0,appearance-ability:captainamerica13:uniform-passive,180013901,1,1,1800139011,9,ALL BASIC ATTACKS INCREASE,Increases all Basic Attacks by 40%,,,false,"{""rawDescription"":""Increases all Basic Attacks by <b>40%</b>""}"
appearance-ability:captainamerica13:uniform-passive:stage:180013901:0:effect:1800139012:1,appearance-ability:captainamerica13:uniform-passive,180013901,1,2,1800139012,40,CHAIN HIT DMG RECEIVED ↓,Decreases Chain Hit damage by 10% when attacked.,,,false,"{""rawDescription"":""Decreases Chain Hit damage by <b>10%</b> when attacked.""}"
appearance-ability:captainamerica13:uniform-passive:stage:180013901:0:effect:1800139013:2,appearance-ability:captainamerica13:uniform-passive,180013901,1,3,1800139013,325,Give Power,Acquires the following effect for $TIME sec.,,,false,"{""rawDescription"":""Acquires the following effect for $TIME sec.""}"
appearance-ability:captainamerica13:uniform-passive:stage:180014001:1:effect:1800140011:0,appearance-ability:captainamerica13:uniform-passive,180014001,2,1,1800140011,258,ALL DAMAGE IMMUNE,100% chance to grant All Damage Immunity,4,,false,"{""rawDescription"":""<b>100%</b> chance to grant All Damage Immunity""}"
appearance-ability:captainamerica13:uniform-passive:stage:180014001:1:effect:1800140012:1,appearance-ability:captainamerica13:uniform-passive,180014001,2,2,1800140012,252,FRENZY,"Increases all Basic Attacks and Defense by 25%, all speed by 1%, and Critical Rate by 20%, removes Incapacitation",10,,false,"{""rawDescription"":""Increases all Basic Attacks and Defense by <b>25%</b>, all speed by <b>1%</b>, and Critical Rate by <b>20%</b>, removes Incapacitation""}"
appearance-ability:captainamerica14:leader-skill:stage:180013706:0:effect:1800137061:0,appearance-ability:captainamerica14:leader-skill,180013706,1,1,1800137061,11,MAX HP ↑,45% increase of HP.,,,false,"{""rawDescription"":""<b>45%</b> increase of HP.""}"
