character_id,name,acquisition,season,cost,release_update,release_date,image_url,image_local_url,source_url
angela,Asgard's Assassin,1750 Crystals,,1750 Crystals,Update 9.2,"July 26, 2023",https://thanosvibs.money/static/assets/portraits_128/angela3.png,/mff-assets/uniforms/angela3.webp,https://thanosvibs.money/uniforms
angela,Secret Wars: 1602 Witch Hunter Angela,500000 Gold,,500000 Gold,Update 1.4,"August 25, 2015",https://thanosvibs.money/static/assets/portraits_128/angela1.png,/mff-assets/uniforms/angela1.webp,https://thanosvibs.money/uniforms
antman,Ant-Man and the Wasp: Quantumania,1750 Crystals,,1750 Crystals,Update 8.8,"February 15, 2023",https://thanosvibs.money/static/assets/portraits_128/antman6.png,/mff-assets/uniforms/antman6.webp,https://thanosvibs.money/uniforms
antman,Marvel Studios' Ant-Man,500000 Gold,,500000 Gold,Update 1.3,"July 7, 2015",https://thanosvibs.money/static/assets/portraits_128/antman1.png,/mff-assets/uniforms/antman1.webp,https://thanosvibs.money/uniforms
antman,Marvel Studios' Ant-Man and the Wasp,1750 Crystals,,1750 Crystals,Update 4.2,"July 3, 2018",https://thanosvibs.money/static/assets/portraits_128/antman3.png,/mff-assets/uniforms/antman3.webp,https://thanosvibs.money/uniforms
antman,Marvel Studios' Avengers: Endgame,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/antman4.png,/mff-assets/uniforms/antman4.webp,https://thanosvibs.money/uniforms
antman,Marvel Studios' Captain America: Civil War,500000 Gold,,500000 Gold,Update 2.1.5,"May 17, 2016",https://thanosvibs.money/static/assets/portraits_128/antman2.png,/mff-assets/uniforms/antman2.webp,https://thanosvibs.money/uniforms
antman,Team Suit,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/antman5.png,/mff-assets/uniforms/antman5.webp,https://thanosvibs.money/uniforms
antiman,Ultimates,1750 Crystals,,1750 Crystals,Update 10.0,"May 8, 2024",https://thanosvibs.money/static/assets/portraits_128/antiman1.png,/mff-assets/uniforms/antiman1.webp,https://thanosvibs.money/uniforms
apocalypse,Heralds of Apocalypse,2500 Crystals,,2500 Crystals,Update 10.3.5b,"October 2, 2024",https://thanosvibs.money/static/assets/portraits_128/apocalypse2.png,/mff-assets/uniforms/apocalypse2.webp,https://thanosvibs.money/uniforms
apocalypse,Messiah Complex,2500 Crystals,,2500 Crystals,Update 5.6,"November 27, 2019",https://thanosvibs.money/static/assets/portraits_128/apocalypse1.png,/mff-assets/uniforms/apocalypse1.webp,https://thanosvibs.money/uniforms
arachknight,Arachknight 2099,1750 Crystals,,1750 Crystals,Update 8.7.5,"January 26, 2023",https://thanosvibs.money/static/assets/portraits_128/arachknight1.png,/mff-assets/uniforms/arachknight1.webp,https://thanosvibs.money/uniforms
archangel,X-Force,500000 Gold,,500000 Gold,Update 4.5,"October 24, 2018",https://thanosvibs.money/static/assets/portraits_128/angel1.png,/mff-assets/uniforms/angel1.webp,https://thanosvibs.money/uniforms
ares,Punisher,1750 Crystals,,1750 Crystals,Update 11.4.5,"November 19, 2025",https://thanosvibs.money/static/assets/portraits_128/ares1.png,/mff-assets/uniforms/ares1.webp,https://thanosvibs.money/uniforms
baronzemo,Marvel Studios' The Falcon and the Winter Soldier,1750 Crystals,,1750 Crystals,Update 7.2,"June 30, 2021",https://thanosvibs.money/static/assets/portraits_128/baronzemo1.png,/mff-assets/uniforms/baronzemo1.webp,https://thanosvibs.money/uniforms
beast,Age of Apocalypse,500000 Gold,,500000 Gold,Update 3.4,"September 13, 2017",https://thanosvibs.money/static/assets/portraits_128/beast1.png,/mff-assets/uniforms/beast1.webp,https://thanosvibs.money/uniforms
beast,All-New X-Men,1750 Crystals,,1750 Crystals,Update 8.6,"December 7, 2022",https://thanosvibs.money/static/assets/portraits_128/beast3.png,/mff-assets/uniforms/beast3.webp,https://thanosvibs.money/uniforms
beast,Marvel Animation's X-Men '97,1750 Crystals,,1750 Crystals,Update 11.0,"June 4, 2025",https://thanosvibs.money/static/assets/portraits_128/beast4.png,/mff-assets/uniforms/beast4.webp,https://thanosvibs.money/uniforms
beast,Uncanny X-Men,1750 Crystals,,1750 Crystals,Update 5.1,"May 29, 2019",https://thanosvibs.money/static/assets/portraits_128/beast2.png,/mff-assets/uniforms/beast2.webp,https://thanosvibs.money/uniforms
betaraybill,Beta Ray Bill,1750 Crystals,,1750 Crystals,Update 9.8,"February 21, 2024",https://thanosvibs.money/static/assets/portraits_128/betaraybill1.png,/mff-assets/uniforms/betaraybill1.webp,https://thanosvibs.money/uniforms
bishop,Marvel Animation's X-Men '97,1750 Crystals,,1750 Crystals,Update 11.0.5a,"June 18, 2025",https://thanosvibs.money/static/assets/portraits_128/bishop1.png,/mff-assets/uniforms/bishop1.webp,https://thanosvibs.money/uniforms
blackbolt,"All-New, All-Different",500000 Gold,,500000 Gold,Update 1.8,"December 15, 2015",https://thanosvibs.money/static/assets/portraits_128/blackbolt1.png,/mff-assets/uniforms/blackbolt1.webp,https://thanosvibs.money/uniforms
blackbolt,Fallen Soul,Halloween Exclusive (1750 Crystals),Halloween,1750 Crystals,Update 8.4.5b,"October 19, 2022",https://thanosvibs.money/static/assets/portraits_128/blackbolt4.png,/mff-assets/uniforms/blackbolt4.webp,https://thanosvibs.money/uniforms
blackbolt,Inhumans: Attilan Rising,500000 Gold,,500000 Gold,Update 2.9,"February 15, 2017",https://thanosvibs.money/static/assets/portraits_128/blackbolt2.png,/mff-assets/uniforms/blackbolt2.webp,https://thanosvibs.money/uniforms
blackbolt,Marvels X,1750 Crystals,,1750 Crystals,Update 6.3,"August 11, 2020",https://thanosvibs.money/static/assets/portraits_128/blackbolt3.png,/mff-assets/uniforms/blackbolt3.webp,https://thanosvibs.money/uniforms
blackcat,"All-New, All-Different",500000 Gold,,500000 Gold,Update 2.5,"September 20, 2016",https://thanosvibs.money/static/assets/portraits_128/blackcat2.png,/mff-assets/uniforms/blackcat2.webp,https://thanosvibs.money/uniforms
blackcat,Claws,500000 Gold,,500000 Gold,Update 1.6,"October 29, 2015",https://thanosvibs.money/static/assets/portraits_128/blackcat1.png,/mff-assets/uniforms/blackcat1.webp,https://thanosvibs.money/uniforms
blackcat,Winter Criminal,Christmas Exclusive (Paywall),Christmas,Paywall,Update 7.7,"December 22, 2021",https://thanosvibs.money/static/assets/portraits_128/blackcat3.png,/mff-assets/uniforms/blackcat3.webp,https://thanosvibs.money/uniforms
blackdwarf,Dark Obsidian Armor,1750 Crystals,,1750 Crystals,Update 7.1,"May 26, 2021",https://thanosvibs.money/static/assets/portraits_128/blackdwarf2.png,/mff-assets/uniforms/blackdwarf2.webp,https://thanosvibs.money/uniforms
blackpanther,3099,1750 Crystals,,1750 Crystals,Update 7.2.5,"July 14, 2021",https://thanosvibs.money/static/assets/portraits_128/blackpanther3.png,/mff-assets/uniforms/blackpanther3.webp,https://thanosvibs.money/uniforms
blackpanther,King Without a Crown,1750 Crystals,,1750 Crystals,Update 9.3.5,"September 13, 2023",https://thanosvibs.money/static/assets/portraits_128/blackpanther4.png,/mff-assets/uniforms/blackpanther4.webp,https://thanosvibs.money/uniforms
blackpanther,Marvel Studios' Black Panther,Legendary Battle Package,,,Update 3.8,"February 7, 2018",https://thanosvibs.money/static/assets/portraits_128/blackpanther2.png,/mff-assets/uniforms/blackpanther2.webp,https://thanosvibs.money/uniforms
blackpanther,Marvel Studios' Black Panther: Wakanda Forever,1750 Crystals,,1750 Crystals,Update 9.3.5,"September 13, 2023",https://thanosvibs.money/static/assets/portraits_128/shuri3.png,/mff-assets/uniforms/shuri3.webp,https://thanosvibs.money/uniforms
blackpanther,Marvel Studios' Captain America: Civil War,500000 Gold,,500000 Gold,Update 2.1.5,"May 17, 2016",https://thanosvibs.money/static/assets/portraits_128/blackpanther1.png,/mff-assets/uniforms/blackpanther1.webp,https://thanosvibs.money/uniforms
blackwidow,Avengers 3099,Story Mode Clear #2,,,Update 5.7,"January 8, 2020",https://thanosvibs.money/static/assets/portraits_128/blackwidow7.png,/mff-assets/uniforms/blackwidow7.webp,https://thanosvibs.money/uniforms
blackwidow,Avengers: Age of Ultron,Free,,Free,Update 1.1,"May 15, 2015",https://thanosvibs.money/static/assets/portraits_128/blackwidow1.png,/mff-assets/uniforms/blackwidow1.webp,https://thanosvibs.money/uniforms
blackwidow,Golden Gate Vigilante,1750 Crystals,,1750 Crystals,Update 8.1,"June 1, 2022",https://thanosvibs.money/static/assets/portraits_128/blackwidow10.png,/mff-assets/uniforms/blackwidow10.webp,https://thanosvibs.money/uniforms
blackwidow,Marvel Studios' Avengers: Endgame,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/blackwidow5.png,/mff-assets/uniforms/blackwidow5.webp,https://thanosvibs.money/uniforms
blackwidow,Marvel Studios' Avengers: Infinity War,1750 Crystals,,1750 Crystals,Update 4.0,"April 25, 2018",https://thanosvibs.money/static/assets/portraits_128/blackwidow4.png,/mff-assets/uniforms/blackwidow4.webp,https://thanosvibs.money/uniforms
blackwidow,Marvel Studios' Black Widow,1750 Crystals,,1750 Crystals,Update 6.0,"April 22, 2020",https://thanosvibs.money/static/assets/portraits_128/blackwidow8.png,/mff-assets/uniforms/blackwidow8.webp,https://thanosvibs.money/uniforms
blackwidow,Marvel Studios' Black Widow (Snow Suit),1750 Crystals,,1750 Crystals,Update 6.0.5,"May 5, 2020",https://thanosvibs.money/static/assets/portraits_128/blackwidow9.png,/mff-assets/uniforms/blackwidow9.webp,https://thanosvibs.money/uniforms
blackwidow,Marvel Studios' Captain America: Civil War,500000 Gold,,500000 Gold,Update 2.2,"June 15, 2016",https://thanosvibs.money/static/assets/portraits_128/blackwidow3.png,/mff-assets/uniforms/blackwidow3.webp,https://thanosvibs.money/uniforms
blackwidow,Secret Wars: 2099,500000 Gold,,500000 Gold,Update 1.4,"August 25, 2015",https://thanosvibs.money/static/assets/portraits_128/blackwidow2.png,/mff-assets/uniforms/blackwidow2.webp,https://thanosvibs.money/uniforms
blackwidow,Team Suit,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/blackwidow6.png,/mff-assets/uniforms/blackwidow6.webp,https://thanosvibs.money/uniforms
blackwidow,Venomous,1750 Crystals,,1750 Crystals,Update 10.7.5a,"February 19, 2025",https://thanosvibs.money/static/assets/portraits_128/blackwidow11.png,/mff-assets/uniforms/blackwidow11.webp,https://thanosvibs.money/uniforms
blade,70's Classic,500000 Gold,,500000 Gold,Update 1.6,"October 29, 2015",https://thanosvibs.money/static/assets/portraits_128/blade1.png,/mff-assets/uniforms/blade1.webp,https://thanosvibs.money/uniforms
blade,Avengers,1750 Crystals,,1750 Crystals,Update 6.4c,"October 13, 2020",https://thanosvibs.money/static/assets/portraits_128/blade2.png,/mff-assets/uniforms/blade2.webp,https://thanosvibs.money/uniforms
blade,Vampire Slayer,1750 Crystals,,1750 Crystals,Update 8.1,"June 1, 2022",https://thanosvibs.money/static/assets/portraits_128/blade3.png,/mff-assets/uniforms/blade3.webp,https://thanosvibs.money/uniforms
bluedragon,Moon Temple Defenders,1750 Crystals,,1750 Crystals,Update 8.3.5a,"August 24, 2022",https://thanosvibs.money/static/assets/portraits_128/bluedragon1.png,/mff-assets/uniforms/bluedragon1.webp,https://thanosvibs.money/uniforms
bluemarvel,Classic,1750 Crystals,,1750 Crystals,Update 7.2.5,"July 14, 2021",https://thanosvibs.money/static/assets/portraits_128/bluemarvel1.png,/mff-assets/uniforms/bluemarvel1.webp,https://thanosvibs.money/uniforms
bobbimorse,Marvel Studios' Agents of S.H.I.E.L.D.,500000 Gold,,500000 Gold,Update 1.5,"October 7, 2015",https://thanosvibs.money/static/assets/portraits_128/mockingbird1.png,/mff-assets/uniforms/mockingbird1.webp,https://thanosvibs.money/uniforms
bullseye,Dark Avengers,1750 Crystals,,1750 Crystals,Update 6.6,"December 1, 2020",https://thanosvibs.money/static/assets/portraits_128/bullseye2.png,/mff-assets/uniforms/bullseye2.webp,https://thanosvibs.money/uniforms
bullseye,Secret Wars: 1872,500000 Gold,,500000 Gold,Update 1.4,"August 25, 2015",https://thanosvibs.money/static/assets/portraits_128/bullseye1.png,/mff-assets/uniforms/bullseye1.webp,https://thanosvibs.money/uniforms
bullseye,Wastelanders,1750 Crystals,,1750 Crystals,Update 10.6,"December 26, 2024",https://thanosvibs.money/static/assets/portraits_128/bullseye3.png,/mff-assets/uniforms/bullseye3.webp,https://thanosvibs.money/uniforms
cable,Cable & Deadpool,1750 Crystals,,1750 Crystals,Update 5.6,"November 27, 2019",https://thanosvibs.money/static/assets/portraits_128/cable2.png,/mff-assets/uniforms/cable2.webp,https://thanosvibs.money/uniforms
cable,Heart of Darkness,1750 Crystals,,1750 Crystals,Update 9.3,"August 30, 2023",https://thanosvibs.money/static/assets/portraits_128/cable5.png,/mff-assets/uniforms/cable5.webp,https://thanosvibs.money/uniforms
cable,Summer Days,Summer Exclusive (1750 Crystals),Summer,1750 Crystals,Update 6.2.5b,"July 30, 2020",https://thanosvibs.money/static/assets/portraits_128/cable3.png,/mff-assets/uniforms/cable3.webp,https://thanosvibs.money/uniforms
cable,X of Swords,1750 Crystals,,1750 Crystals,Update 6.8,"February 8, 2021",https://thanosvibs.money/static/assets/portraits_128/cable4.png,/mff-assets/uniforms/cable4.webp,https://thanosvibs.money/uniforms
cable,X-Force,1750 Crystals,,1750 Crystals,Update 4.3,"August 8, 2018",https://thanosvibs.money/static/assets/portraits_128/cable1.png,/mff-assets/uniforms/cable1.webp,https://thanosvibs.money/uniforms
captainamerica,Avengers 3099,Story Mode Clear #3,,,Update 5.7,"January 8, 2020",https://thanosvibs.money/static/assets/portraits_128/captainamerica10.png,/mff-assets/uniforms/captainamerica10.webp,https://thanosvibs.money/uniforms
captainamerica,Avengers: Age of Ultron,Free,,Free,Update 1.1,"May 15, 2015",https://thanosvibs.money/static/assets/portraits_128/captainamerica1.png,/mff-assets/uniforms/captainamerica1.webp,https://thanosvibs.money/uniforms
captainamerica,Back to Basics,1750 Crystals,,1750 Crystals,Update 8.5.5,"November 16, 2022",https://thanosvibs.money/static/assets/portraits_128/captainamerica13.png,/mff-assets/uniforms/captainamerica13.webp,https://thanosvibs.money/uniforms
captainamerica,Enter the Phoenix,1750 Crystals,,1750 Crystals,Update 7.5,"October 13, 2021",https://thanosvibs.money/static/assets/portraits_128/captainamerica12.png,/mff-assets/uniforms/captainamerica12.webp,https://thanosvibs.money/uniforms
captainamerica,Galactic Talon,1750 Crystals,,1750 Crystals,Update 11.8,"April 8, 2026",https://thanosvibs.money/static/assets/portraits_128/captainamerica15.png,/mff-assets/uniforms/captainamerica15.webp,https://thanosvibs.money/uniforms
captainamerica,Hydra Supreme,1750 Crystals,,1750 Crystals,Update 5.8,"February 12, 2020",https://thanosvibs.money/static/assets/portraits_128/captainamerica11.png,/mff-assets/uniforms/captainamerica11.webp,https://thanosvibs.money/uniforms
captainamerica,Marvel NOW!,500000 Gold,,500000 Gold,Update 2.8,"January 11, 2017",https://thanosvibs.money/static/assets/portraits_128/captainamerica5.png,/mff-assets/uniforms/captainamerica5.webp,https://thanosvibs.money/uniforms
captainamerica,Marvel Studios' Avengers: Endgame,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/captainamerica9.png,/mff-assets/uniforms/captainamerica9.webp,https://thanosvibs.money/uniforms
captainamerica,Marvel Studios' Avengers: Infinity War,1750 Crystals,,1750 Crystals,Update 4.0,"April 25, 2018",https://thanosvibs.money/static/assets/portraits_128/captainamerica6.png,/mff-assets/uniforms/captainamerica6.webp,https://thanosvibs.money/uniforms
captainamerica,Marvel Studios' Captain America: Civil War,500000 Gold,,500000 Gold,Update 2.1,"April 28, 2016",https://thanosvibs.money/static/assets/portraits_128/captainamerica4.png,/mff-assets/uniforms/captainamerica4.webp,https://thanosvibs.money/uniforms
captainamerica,Marvel Studios' Captain America: The Winter Soldier,500000 Gold,,500000 Gold,Update 1.8,"December 15, 2015",https://thanosvibs.money/static/assets/portraits_128/captainamerica3.png,/mff-assets/uniforms/captainamerica3.webp,https://thanosvibs.money/uniforms
captainamerica,Secret Wars: 2099,500000 Gold,,500000 Gold,Update 1.4,"August 25, 2015",https://thanosvibs.money/static/assets/portraits_128/captainamerica2.png,/mff-assets/uniforms/captainamerica2.webp,https://thanosvibs.money/uniforms
captainamerica,Team Suit,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/captainamerica8.png,/mff-assets/uniforms/captainamerica8.webp,https://thanosvibs.money/uniforms
captainamerica,What If... Zombies?!,1750 Crystals,,1750 Crystals,Update 10.4,"October 16, 2024",https://thanosvibs.money/static/assets/portraits_128/captainamerica14.png,/mff-assets/uniforms/captainamerica14.webp,https://thanosvibs.money/uniforms
captainamericasamwilson,Marvel Studios' Captain America: Brave New World,1750 Crystals,,1750 Crystals,Update 10.7,"February 5, 2025",https://thanosvibs.money/static/assets/portraits_128/falcon6.png,/mff-assets/uniforms/falcon6.webp,https://thanosvibs.money/uniforms
captainamericasamwilson,Marvel Studios' The Falcon and the Winter Soldier,1750 Crystals,,1750 Crystals,Update 7.2,"June 30, 2021",https://thanosvibs.money/static/assets/portraits_128/falcon4.png,/mff-assets/uniforms/falcon4.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Arctic Warrior,Christmas Exclusive (Paywall),Christmas,Paywall,Update 10.6a,"January 1, 2025",https://thanosvibs.money/static/assets/portraits_128/sharonrogers6.png,/mff-assets/uniforms/sharonrogers6.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Dark Star Armor,1750 Crystals,,1750 Crystals,Update 4.6,"November 28, 2018",https://thanosvibs.money/static/assets/portraits_128/sharonrogers2.png,/mff-assets/uniforms/sharonrogers2.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Light Sirius Armor,1750 Crystals,,1750 Crystals,Update 7.4.5,"September 23, 2021",https://thanosvibs.money/static/assets/portraits_128/sharonrogers4.png,/mff-assets/uniforms/sharonrogers4.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Poseidon Armor,1750 Crystals,,1750 Crystals,Update 8.9.5b,"April 19, 2023",https://thanosvibs.money/static/assets/portraits_128/sharonrogers5.png,/mff-assets/uniforms/sharonrogers5.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Star Light Armor,500000 Gold,,500000 Gold,Update 3.0,"April 27, 2017",https://thanosvibs.money/static/assets/portraits_128/sharonrogers1.png,/mff-assets/uniforms/sharonrogers1.webp,https://thanosvibs.money/uniforms
captainamericasharonrogers,Star Night Armor,1750 Crystals,,1750 Crystals,Update 5.7,"January 8, 2020",https://thanosvibs.money/static/assets/portraits_128/sharonrogers3.png,/mff-assets/uniforms/sharonrogers3.webp,https://thanosvibs.money/uniforms
captainbritain,Hellfire Gala,1750 Crystals,,1750 Crystals,Update 7.7.5a,"January 5, 2022",https://thanosvibs.money/static/assets/portraits_128/psylocke3.png,/mff-assets/uniforms/psylocke3.webp,https://thanosvibs.money/uniforms
captainmarvel,Marvel Animation's Marvel Zombies,1750 Crystals,,1750 Crystals,Update 11.3,"September 24, 2025",https://thanosvibs.money/static/assets/portraits_128/captainmarvel7.png,/mff-assets/uniforms/captainmarvel7.webp,https://thanosvibs.money/uniforms
captainmarvel,Marvel Studios' Avengers: Endgame,1750 Crystals,,1750 Crystals,Update 5.0,"April 24, 2019",https://thanosvibs.money/static/assets/portraits_128/captainmarvel4.png,/mff-assets/uniforms/captainmarvel4.webp,https://thanosvibs.money/uniforms
captainmarvel,Marvel Studios' Captain Marvel,1750 Crystals,,1750 Crystals,Update 4.8,"February 20, 2019",https://thanosvibs.money/static/assets/portraits_128/captainmarvel3.png,/mff-assets/uniforms/captainmarvel3.webp,https://thanosvibs.money/uniforms
captainmarvel,Marvel Studios' The Marvels,1750 Crystals,,1750 Crystals,Update 9.5,"November 8, 2023",https://thanosvibs.money/static/assets/portraits_128/captainmarvel6.png,/mff-assets/uniforms/captainmarvel6.webp,https://thanosvibs.money/uniforms
captainmarvel,Ms. Marvel,500000 Gold,,500000 Gold,Update 1.8,"December 15, 2015",https://thanosvibs.money/static/assets/portraits_128/captainmarvel2.png,/mff-assets/uniforms/captainmarvel2.webp,https://thanosvibs.money/uniforms
captainmarvel,Secret Wars: Captain Marvel & The Carol Corps,Unavailable,,Unavailable,Update 1.4,"August 25, 2015",https://thanosvibs.money/static/assets/portraits_128/captainmarvel1.png,/mff-assets/uniforms/captainmarvel1.webp,https://thanosvibs.money/uniforms
captainmarvel,The Last Avenger,1750 Crystals,,1750 Crystals,Update 7.2.5,"July 14, 2021",https://thanosvibs.money/static/assets/portraits_128/captainmarvel5.png,/mff-assets/uniforms/captainmarvel5.webp,https://thanosvibs.money/uniforms
captainmonicarambeau,Marvel Studios' The Marvels,1750 Crystals,,1750 Crystals,Update 9.5,"November 8, 2023",https://thanosvibs.money/static/assets/portraits_128/spectrum1.png,/mff-assets/uniforms/spectrum1.webp,https://thanosvibs.money/uniforms
carnage,Absolute Carnage,1750 Crystals,,1750 Crystals,Update 6.5.5,"November 18, 2020",https://thanosvibs.money/static/assets/portraits_128/carnage1.png,/mff-assets/uniforms/carnage1.webp,https://thanosvibs.money/uniforms
carnage,Fallen Soul,1750 Crystals,,1750 Crystals,Update 8.4.5a,"October 5, 2022",https://thanosvibs.money/static/assets/portraits_128/carnage2.png,/mff-assets/uniforms/carnage2.webp,https://thanosvibs.money/uniforms
carnage,Superior Carnage,1750 Crystals,,1750 Crystals,Update 10.5.5,"December 4, 2024",https://thanosvibs.money/static/assets/portraits_128/carnage3.png,/mff-assets/uniforms/carnage3.webp,https://thanosvibs.money/uniforms
chasm,Dark Web,1750 Crystals,,1750 Crystals,Update 8.7.5,"January 26, 2023",https://thanosvibs.money/static/assets/portraits_128/scarletspider1.png,/mff-assets/uniforms/scarletspider1.webp,https://thanosvibs.money/uniforms
colossus,Hellfire Gala,1750 Crystals,,1750 Crystals,Update 7.7.5a,"January 5, 2022",https://thanosvibs.money/static/assets/portraits_128/colossus3.png,/mff-assets/uniforms/colossus3.webp,https://thanosvibs.money/uniforms
colossus,Phoenix Five,1750 Crystals,,1750 Crystals,Update 5.4,"September 10, 2019",https://thanosvibs.money/static/assets/portraits_128/colossus2.png,/mff-assets/uniforms/colossus2.webp,https://thanosvibs.money/uniforms
colossus,X-Force,500000 Gold,,500000 Gold,Update 4.3,"August 8, 2018",https://thanosvibs.money/static/assets/portraits_128/colossus1.png,/mff-assets/uniforms/colossus1.webp,https://thanosvibs.money/uniforms
corvusglaive,Dark Obsidian Armor,1750 Crystals,,1750 Crystals,Update 7.1,"May 26, 2021",https://thanosvibs.money/static/assets/portraits_128/corvusglaive2.png,/mff-assets/uniforms/corvusglaive2.webp,https://thanosvibs.money/uniforms
corvusglaive,Marvel Studios' Avengers: Infinity War,1750 Crystals,,1750 Crystals,Update 4.0,"April 25, 2018",https://thanosvibs.money/static/assets/portraits_128/corvusglaive1.png,/mff-assets/uniforms/corvusglaive1.webp,https://thanosvibs.money/uniforms
