id,appearance_id,kind,source_skill_type,source_skill_id,name,cooldown,target,activation,icon,sort_order,source_url,raw_data
appearance-ability:captainamerica4:passive,captainamerica4,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica4/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: Civil War"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica4:tier-2-passive,captainamerica4,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica4/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: Civil War"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica4:uniform-passive,captainamerica4,uniform_effect,Uniform Passive,100015301,Marvel Studios' Captain America: Civil War,20,,25 % rate when hit,captainamerica4,3,https://thanosvibs.money/api/characters/captainamerica4/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Captain America: Civil War"",""baseCharacter"":false,""sourceSkillId"":""100015301""}"
appearance-ability:captainamerica5:leader-skill,captainamerica5,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica5/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel NOW!"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica5:passive,captainamerica5,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica5/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel NOW!"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica5:tier-2-passive,captainamerica5,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica5/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel NOW!"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica5:uniform-passive,captainamerica5,uniform_effect,Uniform Passive,100015401,Marvel NOW!,7,,45 % rate when hit,captainamerica5,3,https://thanosvibs.money/api/characters/captainamerica5/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel NOW!"",""baseCharacter"":false,""sourceSkillId"":""100015401""}"
appearance-ability:captainamerica6:leader-skill,captainamerica6,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica6/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Infinity War"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica6:passive,captainamerica6,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica6/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Infinity War"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica6:tier-2-passive,captainamerica6,passive,Tier-2 Passive,100011501,Hold The Line,1,,when skill Heroic Fury is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica6/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Infinity War"",""baseCharacter"":false,""sourceSkillId"":""100011501""}"
appearance-ability:captainamerica6:uniform-passive,captainamerica6,uniform_effect,Uniform Passive,100015501,Marvel Studios' Avengers: Infinity War,20,,45 % rate when hit,captainamerica6,3,https://thanosvibs.money/api/characters/captainamerica6/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Infinity War"",""baseCharacter"":false,""sourceSkillId"":""100015501""}"
appearance-ability:captainamerica9:leader-skill,captainamerica9,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica9/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Endgame"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica9:passive,captainamerica9,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica9/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Endgame"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica9:tier-2-passive,captainamerica9,passive,Tier-2 Passive,100019901,Hold The Line,1,,when skill Mjolnir's Justice is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica9/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Endgame"",""baseCharacter"":false,""sourceSkillId"":""100019901""}"
appearance-ability:captainamerica9:uniform-passive,captainamerica9,uniform_effect,Uniform Passive,100018901,Marvel Studios' Avengers: Endgame,20,,50 % rate when hit,captainamerica9,3,https://thanosvibs.money/api/characters/captainamerica9/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Marvel Studios' Avengers: Endgame"",""baseCharacter"":false,""sourceSkillId"":""100018901""}"
appearance-ability:captainamerica8:leader-skill,captainamerica8,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica8/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Team Suit"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica8:passive,captainamerica8,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica8/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Team Suit"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica8:tier-2-passive,captainamerica8,passive,Tier-2 Passive,100019901,Hold The Line,1,,when skill Mjolnir's Justice is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica8/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Team Suit"",""baseCharacter"":false,""sourceSkillId"":""100019901""}"
appearance-ability:captainamerica8:uniform-passive,captainamerica8,uniform_effect,Uniform Passive,100018901,Team Suit,20,,50 % rate when hit,captainamerica8,3,https://thanosvibs.money/api/characters/captainamerica8/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Team Suit"",""baseCharacter"":false,""sourceSkillId"":""100018901""}"
appearance-ability:captainamerica10:leader-skill,captainamerica10,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica10/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers 3099"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica10:passive,captainamerica10,passive,Passive,100010401,Heroism,20,,50 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica10/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers 3099"",""baseCharacter"":false,""sourceSkillId"":""100010401""}"
appearance-ability:captainamerica10:tier-2-passive,captainamerica10,passive,Tier-2 Passive,120016601,Hold the Line,1,,when skill Intrepid Sonic Charge is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica10/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers 3099"",""baseCharacter"":false,""sourceSkillId"":""120016601""}"
appearance-ability:captainamerica10:uniform-passive,captainamerica10,uniform_effect,Uniform Passive,100018901,Avengers 3099,20,,50 % rate when hit,captainamerica10,3,https://thanosvibs.money/api/characters/captainamerica10/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Avengers 3099"",""baseCharacter"":false,""sourceSkillId"":""100018901""}"
appearance-ability:captainamerica11:leader-skill,captainamerica11,leader,Leader Skill,100012006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica11/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Hydra Supreme"",""baseCharacter"":false,""sourceSkillId"":""100012006""}"
appearance-ability:captainamerica11:passive,captainamerica11,passive,Passive,120016701,Heroism,20,,60 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica11/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Hydra Supreme"",""baseCharacter"":false,""sourceSkillId"":""120016701""}"
appearance-ability:captainamerica11:tier-2-passive,captainamerica11,passive,Tier-2 Passive,120016801,Hold the Line,1,,when skill Cosmic Dispersal is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica11/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Hydra Supreme"",""baseCharacter"":false,""sourceSkillId"":""120016801""}"
appearance-ability:captainamerica11:uniform-passive,captainamerica11,uniform_effect,Uniform Passive,120016901,Hydra Supreme,0,,50 % rate when hit,captainamerica11,3,https://thanosvibs.money/api/characters/captainamerica11/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Hydra Supreme"",""baseCharacter"":false,""sourceSkillId"":""120016901""}"
appearance-ability:captainamerica12:leader-skill,captainamerica12,leader,Leader Skill,180010006,Master Combatant,0,All Allies,,icon_captainamerica_skill20,0,https://thanosvibs.money/api/characters/captainamerica12/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Enter the Phoenix"",""baseCharacter"":false,""sourceSkillId"":""180010006""}"
appearance-ability:captainamerica12:passive,captainamerica12,passive,Passive,180010101,Heroism,10,,60 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica12/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Enter the Phoenix"",""baseCharacter"":false,""sourceSkillId"":""180010101""}"
appearance-ability:captainamerica12:tier-2-passive,captainamerica12,passive,Tier-2 Passive,180010201,Hold the Line,1,,when skill Phoenix Slam is used,icon_captainamerica_skill15,2,https://thanosvibs.money/api/characters/captainamerica12/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Enter the Phoenix"",""baseCharacter"":false,""sourceSkillId"":""180010201""}"
appearance-ability:captainamerica12:uniform-passive,captainamerica12,uniform_effect,Uniform Passive,180010301,Enter the Phoenix,0,,50 % rate when hit,captainamerica12,3,https://thanosvibs.money/api/characters/captainamerica12/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Enter the Phoenix"",""baseCharacter"":false,""sourceSkillId"":""180010301""}"
appearance-ability:captainamerica13:leader-skill,captainamerica13,leader,Leader Skill,180013706,Master Combatant,0,All Allies,,icon_captainamerica_skill81,0,https://thanosvibs.money/api/characters/captainamerica13/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Back to Basics"",""baseCharacter"":false,""sourceSkillId"":""180013706""}"
appearance-ability:captainamerica13:passive,captainamerica13,passive,Passive,180010101,Heroism,10,,60 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica13/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Back to Basics"",""baseCharacter"":false,""sourceSkillId"":""180010101""}"
appearance-ability:captainamerica13:tier-2-passive,captainamerica13,passive,Tier-2 Passive,180013801,Unbeatable Spirit,0,,,icon_captainamerica_skill80,2,https://thanosvibs.money/api/characters/captainamerica13/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Back to Basics"",""baseCharacter"":false,""sourceSkillId"":""180013801""}"
appearance-ability:captainamerica13:uniform-passive,captainamerica13,uniform_effect,Uniform Passive,180013901,Back to Basics,0,,when HP is below 70 %,captainamerica13,3,https://thanosvibs.money/api/characters/captainamerica13/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Back to Basics"",""baseCharacter"":false,""sourceSkillId"":""180013901""}"
appearance-ability:captainamerica14:leader-skill,captainamerica14,leader,Leader Skill,180013706,Master Combatant,0,All Allies,,icon_captainamerica_skill81,0,https://thanosvibs.money/api/characters/captainamerica14/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""What If... Zombies?!"",""baseCharacter"":false,""sourceSkillId"":""180013706""}"
appearance-ability:captainamerica14:passive,captainamerica14,passive,Passive,180010101,Heroism,10,,60 % rate when debuffed,icon_captainamerica_skill04,1,https://thanosvibs.money/api/characters/captainamerica14/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""What If... Zombies?!"",""baseCharacter"":false,""sourceSkillId"":""180010101""}"
appearance-ability:captainamerica14:tier-2-passive,captainamerica14,passive,Tier-2 Passive,180016101,Unbeatable Spirit,0,,,icon_captainamerica_skill87,2,https://thanosvibs.money/api/characters/captainamerica14/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""What If... Zombies?!"",""baseCharacter"":false,""sourceSkillId"":""180016101""}"
appearance-ability:captainamerica14:uniform-passive,captainamerica14,uniform_effect,Uniform Passive,180016201,What If... Zombies?!,0,,when HP is below 70 %,captainamerica14,3,https://thanosvibs.money/api/characters/captainamerica14/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""What If... Zombies?!"",""baseCharacter"":false,""sourceSkillId"":""180016201""}"
appearance-ability:captainamerica15:leader-skill,captainamerica15,leader,Leader Skill,180018906,Master Combatant,0,All Allies,,icon_captainamerica_skill93,0,https://thanosvibs.money/api/characters/captainamerica15/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Galactic Talon"",""baseCharacter"":false,""sourceSkillId"":""180018906""}"
appearance-ability:captainamerica15:passive,captainamerica15,passive,Passive,180018501,Heroism,10,,when debuffed,icon_captainamerica_skill94,1,https://thanosvibs.money/api/characters/captainamerica15/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Galactic Talon"",""baseCharacter"":false,""sourceSkillId"":""180018501""}"
appearance-ability:captainamerica15:tier-2-passive,captainamerica15,passive,Tier-2 Passive,180018601,Unbeatable Spirit,0,,,icon_captainamerica_skill96,2,https://thanosvibs.money/api/characters/captainamerica15/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Galactic Talon"",""baseCharacter"":false,""sourceSkillId"":""180018601""}"
appearance-ability:captainamerica15:uniform-passive,captainamerica15,uniform_effect,Uniform Passive,180018701,Galactic Talon,0,,when HP is below 70 %,captainamerica15,3,https://thanosvibs.money/api/characters/captainamerica15/skills,"{""character"":""Captain America"",""characterId"":""captainamerica"",""uniform"":""Galactic Talon"",""baseCharacter"":false,""sourceSkillId"":""180018701""}"
appearance-ability:ikaris:leader-skill,ikaris,leader,Leader Skill,102422006,Guardian of Humanity,0,Eternals Allies,,icon_ikaris_skill20,0,https://thanosvibs.money/api/characters/ikaris/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102422006""}"
appearance-ability:ikaris:passive,ikaris,passive,Passive,102420401,Eternal Rebirth,0,,when HP is below 99 %,icon_ikaris_skill04,1,https://thanosvibs.money/api/characters/ikaris/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102420401""}"
appearance-ability:ikaris:tier-2-passive,ikaris,passive,Tier-2 Passive,102427001,Cosmic Endurance,0,,,icon_ikaris_skill70,2,https://thanosvibs.money/api/characters/ikaris/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102427001""}"
appearance-ability:ikaris1:leader-skill,ikaris1,leader,Leader Skill,102422006,Guardian of Humanity,0,Eternals Allies,,icon_ikaris_skill20,0,https://thanosvibs.money/api/characters/ikaris1/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102422006""}"
appearance-ability:ikaris1:passive,ikaris1,passive,Passive,102420401,Eternal Rebirth,0,,when HP is below 99 %,icon_ikaris_skill04,1,https://thanosvibs.money/api/characters/ikaris1/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102420401""}"
appearance-ability:ikaris1:tier-2-passive,ikaris1,passive,Tier-2 Passive,102427001,Cosmic Endurance,0,,,icon_ikaris_skill70,2,https://thanosvibs.money/api/characters/ikaris1/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102427001""}"
appearance-ability:ikaris1:uniform-passive,ikaris1,uniform_effect,Uniform Passive,102425001,Marvel Studios' Eternals,0,,,ikaris1,3,https://thanosvibs.money/api/characters/ikaris1/skills,"{""character"":""Ikaris"",""characterId"":""ikaris"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102425001""}"
appearance-ability:sersi:leader-skill,sersi,leader,Leader Skill,102432006,Transmutation Speed,0,All Allies,,icon_sersi_skill20,0,https://thanosvibs.money/api/characters/sersi/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102432006""}"
appearance-ability:sersi:passive,sersi,passive,Passive,102430401,Eternal Cleansing,20,Eternals Allies,when debuffed,icon_sersi_skill04,1,https://thanosvibs.money/api/characters/sersi/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102430401""}"
appearance-ability:sersi:tier-2-passive,sersi,passive,Tier-2 Passive,102437001,Cosmic Focus,0,Eternals Allies,,icon_sersi_skill70,2,https://thanosvibs.money/api/characters/sersi/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""102437001""}"
appearance-ability:sersi1:leader-skill,sersi1,leader,Leader Skill,102432006,Transmutation Speed,0,All Allies,,icon_sersi_skill20,0,https://thanosvibs.money/api/characters/sersi1/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102432006""}"
appearance-ability:sersi1:passive,sersi1,passive,Passive,102432301,Eternal Cleansing,18,Eternals Allies,when debuffed,icon_sersi_skill04,1,https://thanosvibs.money/api/characters/sersi1/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102432301""}"
appearance-ability:sersi1:tier-2-passive,sersi1,passive,Tier-2 Passive,102432401,Cosmic Focus,0,Eternals Allies,,icon_sersi_skill70,2,https://thanosvibs.money/api/characters/sersi1/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102432401""}"
appearance-ability:sersi1:uniform-passive,sersi1,uniform_effect,Uniform Passive,102435001,Marvel Studios' Eternals,0,,,sersi1,3,https://thanosvibs.money/api/characters/sersi1/skills,"{""character"":""Sersi"",""characterId"":""sersi"",""uniform"":""Marvel Studios' Eternals"",""baseCharacter"":false,""sourceSkillId"":""102435001""}"
appearance-ability:daredevil:leader-skill,daredevil,leader,Leader Skill,100162006,Concentration of Senses,30,All Allies,30 % rate when dodging,icon_daredevil_skill20,0,https://thanosvibs.money/api/characters/daredevil/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""100162006""}"
appearance-ability:daredevil:passive,daredevil,passive,Passive,100160401,Radar Sense,0,,,icon_daredevil_skill04,1,https://thanosvibs.money/api/characters/daredevil/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""100160401""}"
appearance-ability:daredevil:tier-2-passive,daredevil,passive,Tier-2 Passive,100167001,Sonar Sense,0,,,icon_daredevil_skill70,2,https://thanosvibs.money/api/characters/daredevil/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Modern"",""baseCharacter"":true,""sourceSkillId"":""100167001""}"
appearance-ability:daredevil1:leader-skill,daredevil1,leader,Leader Skill,100162006,Concentration of Senses,30,All Allies,30 % rate when dodging,icon_daredevil_skill20,0,https://thanosvibs.money/api/characters/daredevil1/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Devil of Hell's Kitchen"",""baseCharacter"":false,""sourceSkillId"":""100162006""}"
appearance-ability:daredevil1:passive,daredevil1,passive,Passive,100160401,Radar Sense,0,,,icon_daredevil_skill04,1,https://thanosvibs.money/api/characters/daredevil1/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Devil of Hell's Kitchen"",""baseCharacter"":false,""sourceSkillId"":""100160401""}"
appearance-ability:daredevil1:tier-2-passive,daredevil1,passive,Tier-2 Passive,100167001,Sonar Sense,0,,,icon_daredevil_skill70,2,https://thanosvibs.money/api/characters/daredevil1/skills,"{""character"":""Daredevil"",""characterId"":""daredevil"",""uniform"":""Devil of Hell's Kitchen"",""baseCharacter"":false,""sourceSkillId"":""100167001""}"
